"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","75","3.160","32.0","9.3","41.3","4.0","10.7",".","2.7",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","145","2.703","17.9","13.1","20.7","17.9","16.6","9.0","3.4","1.4",".",".",".",".",".",".",".","."
"220
Grwth,Compos&Eval-Meat Anml","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"375
Special Topics","001","","10","3.200","40.0","10.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".","."
"399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"414
Ruminant Nutrition","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"415
Appl-Monogastrc Nutr Prncpl","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"431
Beef Cattle Production","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","44","3.489","38.6","29.5","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681
Senior Honor Thesis","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","29","3.975","93.1","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Chem of the Food Lipids","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 36 of 410"
