"","699
005","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
006","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
007","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Studies","Course Total","8","4.000","100.0",".",".",".",".",".",".","",".",".",".","",".","",".",".",".",".","."
"BIOLOGY
205","Dept. Total","1192","3.003","34.4","11.7","28.8","7.5","11.0","3.6","2.8","",".","0.1",".","",".","",".","0.1",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","181","2.741","35.4","11.6","22.7","5.5","14.4","8.3","2.2","",".",".",".","",".","",".",".",".",".","."
"Sophomore","","539","2.912","26.9","10.9","34.0","8.9","12.6","2.8","3.7","",".","0.2",".","",".","",".",".",".",".","."
"Junior","","349","3.161","36.7","14.0","28.7","6.6","9.5","2.9","1.4","",".",".",".","",".","",".",".",".",".","0.3"
"Senior","","94","3.177","51.1","8.5","20.2","7.4","4.3","3.2","4.3","",".",".",".","",".","",".","1.1",".",".","."
"Undergraduates","","1163","2.993","33.1","11.8","29.5","7.6","11.3","3.7","2.8","",".","0.1",".","",".","",".","0.1",".",".","0.1"
"Special","","25","3.860","84.0","8.0",".","4.0",".",".",".","",".",".",".","",".","",".",".",".","4.0","."
"Graduate","","4","4.000","100.0",".",".",".",".",".",".","",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","1192","3.003","34.4","11.7","28.8","7.5","11.0","3.6","2.8","",".","0.1",".","",".","",".","0.1",".","0.1","0.1"
