"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"140
Intro-Rural Sociol&Development","001","","23","3.705","47.8","43.5",".","4.3",".",".",".",".",".",".",".",".",".",".","4.3","."
"210
Survey of Sociology","001","","15","3.233","13.3","40.0","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"211
The Sociological Enterprise","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"215
Gender & Work-Rural America","001","","13","2.692","7.7","15.4","38.5","15.4","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"222
Food, Culture, and Society","001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"230
Ag&Soc Change-Western Hist","001","","25","3.460","44.0","24.0","16.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"299","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"357
Meth-Sociological Inquiry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"360","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","8","2.688","25.0","12.5",".","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"365
Computing-Sociologcl Resrch","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"380
Contemp Populatn Probs-Honors","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"532","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"532","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","","5","***","","","","","","","","","","","","","","","",""
"573
Community Organization&Change","001","","12","3.750","83.3",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"617
Community Development","001","","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Sociology of Agriculture","001","","15","3.567","53.3","20.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","072","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Rsch:Soc-Envir, Tech, Agrofood","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
