"BUS","","","","","","","","","","","","","","","","","","",""
"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","399
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
163","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Accounting","Course Total","2","***","","","","","","","","","","","","","","","",""
"","406
001","21","3.429","47.6","14.3","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","406
002","43","3.430","37.2","25.6","27.9","4.7","4.7",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","64","3.430","40.6","21.9","26.6","4.7","6.3",".",".",".",".",".",".",".",".",".",".","."
"","603
001","38","3.632","50.0","28.9","18.4","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","42","3.488","35.7","31.0","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","603
003","45","3.667","51.1","31.1","17.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Statement Analysis","Course Total","125","3.596","45.6","30.4","21.6","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","43","3.419","46.5","16.3","20.9","11.6","2.3","2.3",".",".",".",".",".",".",".",".",".","."
"","620
002","22","3.136","27.3","22.7","27.3","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","65","3.323","40.0","18.5","23.1","12.3","3.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","621
001","52","3.327","25.0","34.6","25.0","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","630
001","46","3.370","34.8","21.7","34.8","4.3","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"","630
002","44","3.227","31.8","13.6","40.9","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","630
003","26","2.885","23.1","15.4","19.2","23.1","7.7","11.5",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","116","3.207","31.0","17.2","33.6","8.6","4.3","5.2",".",".",".",".",".",".",".",".",".","."
"","700
001","58","3.578","32.8","50.0","17.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
002","58","3.621","34.5","55.2","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","66","3.576","36.4","42.4","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Accounting","Course Total","182","3.591","34.6","48.9","16.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
002","13","3.423","15.4","53.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","706
001","18","3.500","38.9","33.3","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","706
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","20","3.475","35.0","35.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Managerial Accounting","710
001","45","3.878","82.2","11.1","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch&Adm Issues-Taxation","724
001","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
002","39","3.975","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","40","3.588","55.0","15.0","25.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","770
002","46","3.772","65.2","23.9","10.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Financial Reporting Theory","Course Total","86","3.686","60.5","19.8","17.4","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Smr-Current Taxation Topics","772
001","33","3.591","42.4","39.4","12.1","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Accounting Research","971
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
085","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
136","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
122","1","***","","","","","","","","","",".",".",".",".",".",".","."
