"Intro to Clinical Trials II","544
001","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Intro to Biostats for Pop Hlth","551
001","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Introduction to Bioinformatics","576
001","6","2.900","33.3","16.7",".",".","16.7","16.7",".","16.7",".","",".",".","",".","",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","7","4.000","14.3",".",".",".",".",".",".","85.7",".","",".",".","",".","",".",".",".","."
"B M I
210","Dept. Total","104","3.776","72.1","5.8","6.7","1.0","1.0","1.0","1.0","7.7","",".",".","",".","",".","1.0",".","2.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.500","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","3","3.667","66.7",".","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","5","4.000","80.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","20.0","."
"Undergraduates","","10","3.778","70.0",".","20.0",".",".",".",".",".","",".",".","",".","",".",".",".","10.0","."
"Special","","23","3.737","69.6","4.3",".","4.3",".","4.3",".","4.3","",".",".","",".","",".","4.3",".","8.7","."
"Graduate","","34","3.753","58.8","8.8","8.8",".","2.9",".",".","20.6","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","4","3.750","75.0",".","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","","33","3.818","87.9","6.1","3.0",".",".",".","3.0",".","",".",".","",".","",".",".",".",".","."
"Professionals","","37","3.811","86.5","5.4","5.4",".",".",".","2.7",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","104","3.776","72.1","5.8","6.7","1.0","1.0","1.0","1.0","7.7","",".",".","",".","",".","1.0",".","2.9","."
