"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"SOIL SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","16","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".","",".",".",".","."
"Sophomore","","15","3.520","46.7","20.0","26.7",".","6.7",".",".",".",".",".","",".",".","",".",".",".","."
"Junior","","28","3.063","28.6","25.0","17.9","14.3","10.7","3.6",".",".",".",".","",".",".","",".",".",".","."
"Senior","","82","3.378","52.4","15.9","19.5","1.2","7.3","2.4","1.2",".",".",".","",".",".","",".",".",".","."
"Undergraduates","","141","3.392","52.5","16.3","17.7","3.5","7.1","2.1","0.7",".",".",".","",".",".","",".",".",".","."
"Special","","12","3.375","16.7",".","16.7",".",".",".",".",".",".",".","",".",".","",".","66.7",".","."
"Graduate","","80","3.803","42.5","15.0","2.5",".",".",".",".","31.3","1.3",".","",".","7.5","",".",".",".","."
"","Dept. Total","233","3.488","47.2","15.0","12.4","2.1","4.3","1.3","0.4","10.7","0.4",".","",".","2.6","",".","3.4",".","."
