"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215
Intro to Agr & Applied Econ","001","","237","2.785","12.7","16.5","27.0","16.5","21.5","5.1","0.8",".",".",".",".",".",".",".",".","."
"299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"306
The Real Estate Process","001","","18","2.833","16.7","11.1","27.8","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","62","3.073","16.1","27.4","41.9",".","9.7","1.6","3.2",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","40","3.167","22.5","25.0","30.0","12.5","5.0",".","2.5","2.5",".",".",".",".",".",".",".","."
"375
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","086","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"419
Agricultural Finance","001","","25","3.140","48.0",".","20.0","12.0","12.0","8.0",".",".",".",".",".",".",".",".",".","."
"526
Quant Mthds-Ag & Appl Econ","001","","11","3.000","18.2","18.2","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","18","3.471","22.2","50.0","16.7","5.6",".",".",".",".",".",".",".",".","5.6",".",".","."
"636
Applied Econometric Anal I","001","","24","3.652","45.8","33.3","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","3","***","","","","","","","","","","","","","","","",""
"729
Microdynamics-Envir&Developmt","001","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Advanced Policy Analysis","001","","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"799
Pract:Ag&Appl Econ Teaching","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"881
Benefit-Cost Analysis","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","6","",".",".",".",".",".",".",".","83.3","16.7",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","27","",".",".",".",".",".",".",".","77.8","3.7",".",".","18.5",".",".",".","."
"999","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Work-Ag & Appl Economics","Course Total","","3","***","","","","","","","","","","","","","","","",""
