"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","80","3.313","38.8","18.8","25.0","8.8","5.0","3.8",".",".",".",".",".",".",".",".",".","."
"501
Veterinary Histology","001","","80","3.088","22.5","23.8","31.3","11.3","3.8","6.3","1.3",".",".",".",".",".",".",".",".","."
"503
Veterinary Develomntl Anat","001","","80","3.475","45.0","20.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"551
Veterinary Physiology A","001","","80","3.063","27.5","8.8","41.3","1.3","17.5","3.8",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Externship","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
