"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Intro-Computer Architecture","552","001","","9","2.778","22.2","11.1","22.2","33.3",".",".","11.1",".",".",".",".",".",".",".",".","."
"Computer Graphics","559","001","","33","3.183","24.2","24.2","24.2","9.1","3.0","6.1",".",".",".",".",".",".",".","9.1",".","."
"","564","001","","34","3.364","32.4","38.2","11.8","11.8",".",".","2.9","2.9",".",".",".",".",".",".",".","."
"","564","002","","28","3.590","67.9","14.3","3.6","3.6","10.7",".",".",".",".",".",".",".",".",".",".","."
"Database Mgt Systems","","Course Total","","62","3.463","48.4","27.4","8.1","8.1","4.8",".","1.6","1.6",".",".",".",".",".",".",".","."
"Introduction to Bioinformatics","576","001","","14","3.250","42.9","28.6","7.1","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","577","001","","61","3.131","36.1","16.4","14.8","13.1","16.4","1.6","1.6",".",".",".",".",".",".",".",".","."
"Intro to Computer Networks","640","001","","44","3.250","31.8","25.0","29.5","2.3","6.8","2.3","2.3",".",".",".",".",".",".",".",".","."
"","681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","682","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","21","3.805","85.7","4.8",".","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Construction of Compilers","701","001","","18","3.583","38.9","44.4","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Analysis of Software Artifacts","706","001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mobile and Wireless Networking","707","001","","14","3.769","57.1","28.6","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","10","3.750","50.0","20.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Dynamic Prog & Assoc Topics","723","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","24","3.438","50.0","16.7","12.5","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"Adv Artificial Intelligence","731","001","","35","3.457","45.7","20.0","25.7","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","29","3.828","69.0","27.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cmputr Sys Anal Techniq","747","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","9","3.438","22.2","44.4","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"VLSI Systems Design","755","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Aided Desgn-VLSI","756","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Topics-Comptr Architecture","758","001","","17","3.625","35.3","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Topics-Database Mgt Systems","764","001","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Vision","766","001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Models and Languages","784","001","","26","3.750","69.2","19.2","7.7",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced Algorithms","787","001","","21","3.476","33.3","28.6","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Master's Thesis","790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 193 of 410",""
