"AFRO-AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151
001","24","2.405","4.2","20.8","16.7","16.7","8.3","12.5","8.3","8.3",".",".",".",".","4.2",".",".","."
"They: Race in Amer Lit","155
001","19","3.632","68.4","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156
001","268","3.658","50.4","28.4","16.4","1.1","0.4",".",".","3.4",".",".",".",".",".",".",".","."
"Directed Study","199
007","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222
001","39","2.947","20.5","7.7","38.5","7.7","20.5","2.6",".",".","2.6",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225
001","19","3.842","78.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227
001","87","3.635","40.2","43.7","13.8",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231
001","88","3.379","45.5","10.2","31.8","3.4","5.7","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241
001","26","3.660","65.4","11.5","7.7","7.7","3.8",".",".",".",".",".",".",".",".",".",".","3.8"
"Africa: Introductory Survey","277
001","37","3.324","37.8","16.2","27.0","5.4",".","2.7","2.7","8.1",".",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326
001","22","3.310","40.9","18.2","22.7","4.5","4.5",".","4.5","4.5",".",".",".",".",".",".",".","."
"Artistc/Cult Image-Bl Women","366
001","23","3.591","30.4","52.2","13.0",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Smr:Afro-Am Music Hist&Crit","509
001","11","3.300","36.4","36.4","9.1",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"African American Families","521
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628
001","23","2.761","8.7","30.4","26.1","8.7","17.4",".","8.7",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671
001","12","3.625","41.7","50.0",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visual Cultr, Gender&Race Thry","679
001","12","3.818","66.7","16.7","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","Course Total","2","***","","","","","","","","","","","","","","","",""
"Research and Thesis","790
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"AFROAMER
106","Dept. Total","746","3.494","45.2","25.1","18.5","2.8","3.1","0.8","1.2","2.7","0.1",".",".","0.1","0.3",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.639","61.6","16.4","17.8","1.4","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Sophomore","","93","3.362","37.6","22.6","28.0","4.3","5.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"Junior","","152","3.522","48.7","25.0","16.4","2.0","3.3","0.7","1.3","1.3","0.7",".",".",".",".",".",".","0.7"
"Senior","","401","3.472","41.6","27.9","18.2","2.7","3.0","1.0","1.2","4.0",".",".",".",".","0.2",".",".","."
"Undergraduates","","719","3.485","44.6","25.5","19.1","2.6","3.2","0.8","1.3","2.5","0.1",".",".",".","0.1",".",".","0.1"
"Special","","5","3.500","40.0",".",".","20.0",".",".",".","40.0",".",".",".",".",".",".",".","."
"Graduate","","22","3.779","63.6","18.2","4.5","4.5",".",".",".",".",".",".",".","4.5","4.5",".",".","."
"","Dept. Total","746","3.494","45.2","25.1","18.5","2.8","3.1","0.8","1.2","2.7","0.1",".",".","0.1","0.3",".",".","0.1"
