"","990
106","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
116","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Reading and Research","Course Total","29","",".",".",".",".",".",".",".","96.6",".",".",".","3.4","",".",".",".","."
"Smr-Applied Mathematics","991
001","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"MATH
600","Dept. Total","6670","2.847","27.7","12.1","22.9","9.1","15.5","6.4","4.5","0.6","0.0","0.9","0.0","0.0","",".","0.1","0.0","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2697","2.828","23.8","11.3","26.3","8.6","17.8","6.2","4.1",".","0.0","1.7","0.1",".","",".","0.0",".","."
"Sophomore","","1731","2.808","26.7","13.3","21.7","10.1","14.9","7.3","4.9",".","0.1","0.9",".",".","",".",".",".","0.1"
"Junior","","1060","2.759","25.2","12.9","22.6","10.6","15.5","6.9","5.6","0.2",".","0.2",".",".","",".","0.1",".","0.3"
"Senior","","737","2.727","24.3","11.9","21.7","10.4","17.0","8.1","6.0","0.3",".",".",".",".","",".","0.1","0.1","."
"Undergraduates","","6225","2.803","24.9","12.2","23.9","9.6","16.5","6.8","4.8","0.1","0.0","1.0","0.0",".","",".","0.0","0.0","0.1"
"Special","","67","3.489","67.2","7.5","9.0","6.0","4.5","1.5","3.0","1.5",".",".",".",".","",".",".",".","."
"Graduate","","377","3.740","66.8","11.1","9.0","1.1","2.1","0.5","0.3","8.2",".",".",".","0.3","",".","0.3","0.3","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"","Dept. Total","6670","2.847","27.7","12.1","22.9","9.1","15.5","6.4","4.5","0.6","0.0","0.9","0.0","0.0","",".","0.1","0.0","0.1"
