"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"","799
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Pub Affr Prof Devlpmnt Workshp","800
001","","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","","17","3.625","41.2","35.3","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","818
001","","26","3.635","50.0","38.5","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"","818
002","","21","3.619","47.6","33.3","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","Course Total","","47","3.628","48.9","36.2","8.5","4.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","","16","3.594","37.5","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Policy Analysis","873
001","","18","3.824","61.1","33.3",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Policy-Making Process","874
001","","42","3.524","21.4","59.5","16.7",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","880
001","","44","3.326","22.7","34.1","29.5","6.8","4.5",".",".","2.3",".",".",".",".",".",".",".","."
"","880
002","","10","3.200","20.0","20.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","Course Total","","54","3.302","22.2","31.5","33.3","5.6","5.6",".",".","1.9",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881
001","","28","3.821","75.0","17.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Social Welfare Policy & Mgmt","882
001","","14","3.679","35.7","64.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pub Mgt:Constrnts&Acctblty","885
001","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"State & Local Govt Finance","891
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Performance Management","895
001","","13","3.731","61.5","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","974
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","974
002","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PUB AFFR
826","Dept. Total","","327","3.609","37.3","32.4","11.0","2.1","1.2",".",".","2.1",".","13.1",".",".","0.6",".",".","."
