"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","",""
"","991
043","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","991
054","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research Nutrition","Course Total","31","",".",".",".",".",".",".",".","87.1","",".",".",".","12.9","",".",".",".","."
"NUTR SCI
694","Dept. Total","1480","2.993","21.8","17.6","23.2","11.3","14.7","2.0","0.8","2.0","",".","6.1",".","0.3","",".",".",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","433","2.823","11.1","17.8","27.3","15.2","20.8","2.5","1.2",".","",".","4.2",".",".","",".",".",".","."
"Sophomore","","326","3.027","16.3","20.2","27.0","11.3","13.8","1.5","0.3",".","",".","9.2",".",".","",".",".",".","0.3"
"Junior","","248","2.898","19.4","14.9","20.2","12.1","19.0","2.4","0.8",".","",".","11.3",".",".","",".",".",".","."
"Senior","","328","3.140","29.0","20.4","22.6","9.8","10.7","2.1","1.2","0.6","",".","3.7",".",".","",".",".",".","."
"Undergraduates","","1335","2.967","18.3","18.5","24.7","12.4","16.3","2.2","0.9","0.1","",".","6.6",".",".","",".",".",".","0.1"
"Special","","16","3.540","56.3","18.8","6.3",".","6.3",".",".","6.3","",".","6.3",".",".","",".",".",".","."
"Graduate","","127","3.690","53.5","8.7","10.2","1.6",".",".",".","21.3","",".","1.6",".","3.1","",".",".",".","."
"Prof Yr 3","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","1480","2.993","21.8","17.6","23.2","11.3","14.7","2.0","0.8","2.0","",".","6.1",".","0.3","",".",".",".","0.1"
