"TERM : 1102","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2009-2010","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"HEC","","","","","","","","","","","","","","","","","","","","","",""
"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","","",""
"CNSR SCI
271","Dept. Total","856","3.494","54.3","18.9","13.3","6.4","3.4","1.4","0.5","1.1","",".",".","",".","0.1","",".","0.5",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","32","3.408","53.1","15.6","15.6","9.4","6.3",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","99","3.407","60.6","10.1","12.1","8.1","4.0","4.0",".",".","",".",".","",".",".","",".",".",".","1.0"
"Junior","","243","3.562","62.1","16.0","11.5","6.6","2.1","1.2","0.4",".","",".",".","",".",".","",".",".",".","."
"Senior","","445","3.471","49.2","23.1","15.1","6.1","4.0","1.1","0.7",".","",".",".","",".",".","",".","0.7",".","."
"Undergraduates","","819","3.487","54.6","19.2","13.7","6.6","3.5","1.5","0.5",".","",".",".","",".",".","",".","0.4",".","0.1"
"Special","","4","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".",".","",".","25.0",".","."
"Graduate","","33","3.696","45.5","15.2","6.1","3.0",".",".",".","27.3","",".",".","",".","3.0","",".",".",".","."
"","Dept. Total","856","3.494","54.3","18.9","13.3","6.4","3.4","1.4","0.5","1.1","",".",".","",".","0.1","",".","0.5",".","0.1"
