"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","151
003","16","3.633","50.0","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"","004
151","19","3.632","68.4","15.8","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Technical Info Resources","Course Total","35","3.632","60.0","20.0","8.6","5.7",".","2.9",".",".",".",".",".",".",".","2.9",".","."
"","155
001","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","17","2.971","5.9",".","76.5","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","19","3.342","21.1","42.1","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","155
005","18","2.639",".","16.7","33.3","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"","155
006","22","3.568","36.4","40.9","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","18","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","20","3.525","30.0","50.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","20","3.400","10.0","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
010","19","3.000","5.3","26.3","47.4","15.8",".","5.3",".",".",".",".",".",".",".",".",".","."
"","155
011","18","2.889","27.8","16.7","22.2","16.7","5.6",".","11.1",".",".",".",".",".",".",".",".","."
"","155
012","20","3.400","15.0","50.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
013","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
014","20","3.350","30.0","50.0","5.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","268","3.330","25.7","35.8","27.2","7.1","2.2","0.7","1.1",".",".",".",".",".",".",".",".","."
"","199
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
020","67","3.000",".",".","29.9",".",".",".",".","70.1",".",".",".",".",".",".",".","."
"Freshman Independent Study","Course Total","69","3.091","2.9",".","29.0",".",".",".",".","68.1",".",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","16","3.219","12.5","25.0","56.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
005","15","3.700","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
275","16","3.688","43.8","50.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
007","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
008","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","275
009","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","141","3.674","49.6","37.6","11.3","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"","330
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","5","***","","","","","","","","","","","","","","","",""
"","374
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","9","",".",".",".",".",".",".",".",".",".","88.9",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","20","3.325","20.0","35.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
002","21","3.357","23.8","38.1","28.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","397
003","20","3.475","35.0","35.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
004","17","2.971","11.8","11.8","52.9","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","397
005","19","3.211","10.5","52.6","15.8","10.5","10.5",".",".",".",".",".",".",".",".",".",".","."
"","397
006","16","3.094","6.3","50.0","31.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 125 of 410",""
