"INTERDIS COURSES  (ENGR)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","246","3.776","78.5","11.0","4.9","2.8","0.8","2.0",".",".",".","",".",".","",".","",".","",".",".","."
"Intro-Society's Egr Challenges","102
001","151","3.507","51.7","16.6","23.2","2.6","4.6","0.7","0.7",".",".","",".",".","",".","",".","",".",".","."
"","160
001","141","3.812","70.9","21.3","7.1","0.7",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","160
002","145","3.617","50.3","29.0","16.6","3.4",".","0.7",".",".",".","",".",".","",".","",".","",".",".","."
"Intro to Engineering Design","Course Total","286","3.713","60.5","25.2","11.9","2.1",".","0.3",".",".","",".",".","",".","",".","",".",".",".","."
"","301
001","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","301
002","9","3.577","33.3","44.4","22.2",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Engr & Biology: Tech Symbiosis","Course Total","11","3.357","36.4","36.4","18.2",".","9.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dean's Leadership Class","400
001","25","",".",".",".",".",".",".",".",".",".","","100.0",".","",".","",".","",".",".","."
"Current Issues in Intl Engr","413
001","14","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"INTEREGR
496","Dept. Total","733","3.693","63.0","17.5","11.3","2.3","1.4","1.0","0.1",".","",".","3.4","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"496
INTEREGR","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","474","3.679","63.7","18.1","13.1","2.7","1.1","1.3",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","244","3.751","74.2","14.3","7.0","1.2","1.2","0.4",".","0.8","",".","0.4","",".","",".","",".","0.4",".","."
"Junior","","82","3.783","73.2","3.7","1.2",".","1.2",".",".","2.4","",".","14.6","",".","",".","",".","3.7",".","."
"Senior","","48","3.487","58.3","8.3","6.3","2.1","2.1",".",".","2.1","",".","20.8","",".","",".","",".",".",".","."
"Undergraduates","","848","3.697","67.3","15.1","9.8","2.0","1.2","0.8",".","0.6","",".","2.7","",".","",".","",".","0.5",".","."
"Special","","4","0.000","50.0",".",".",".",".",".","25.0",".","",".","25.0","",".","",".","",".",".",".","."
"Graduate","","2","4.000","50.0",".",".",".",".",".",".",".","",".","50.0","",".","",".","",".",".",".","."
"","Dept. Total","854","3.693","67.2","15.0","9.7","2.0","1.2","0.8","0.1","0.6","",".","2.9","",".","",".","",".","0.5",".","."
