"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","58","3.109","25.9","25.9","19.0","8.6","8.6","5.2","1.7","3.4",".",".",".",".",".",".",".","1.7"
"121
Horticulture Colloquium","001","","34","3.677","50.0","23.5","17.6",".",".",".",".","2.9",".",".",".",".","5.9",".",".","."
"232
Herbaceous Ornamntl Plant I","001","","24","3.391","50.0","8.3","20.8",".","16.7",".",".","4.2",".",".",".",".",".",".",".","."
"261
Turf Management","001","","6","2.667","16.7",".","16.7","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"263
Landscape Plants I","001","","15","2.750","20.0","6.7","13.3","13.3","40.0",".",".","6.7",".",".",".",".",".",".",".","."
"299
Independent Study","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Environment of Hort Plants","001","","26","3.288","38.5","23.1","11.5","11.5","15.4",".",".",".",".",".",".",".",".",".",".","."
"328
Integrated Weed Management","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"339
Plant Biotech:Prin&Technique I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","38","3.181","34.2","15.8","13.2","18.4","10.5","2.6",".","5.3",".",".",".",".",".",".",".","."
"375","001","","25","3.813","72.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"375","002","","16","3.219","12.5","37.5","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","41","3.575","48.8","22.0","19.5","7.3",".",".",".",".",".",".",".",".",".",".",".","2.4"
"399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"550
Molec Approach-Crop Improvt","001","","15","3.067","20.0","13.3","40.0","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"571","001","","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"571","002","","7","3.143","14.3","57.1","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","21","3.405","19.0","61.9","14.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"699","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","33","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
