"TERM : 1102","","","","Percentage Distribution of Grades","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2009-2010","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","",""
"JOURN AND MASS COMMUNICA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","",""
"JOURN
Dept. Total
512","1359","3.427","35.9","25.7","24.7","3.0","2.1","0.9","0.6","2.6","0.1","3.7","0.1","0.2","0.1","0.1","0.2","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","",""
"Freshmen","51","3.208","15.7","33.3","45.1","2.0",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"Sophomore","209","3.294","17.7","32.1","46.4","1.0","1.9","1.0",".",".",".",".",".",".",".",".",".","."
"Junior","407","3.327","30.5","26.8","31.9","4.2","2.5","1.2","1.2","0.5",".","1.0",".",".",".",".","0.2","."
"Senior","513","3.525","46.4","27.3","15.6","4.1","2.9","0.8","0.2","0.4",".","1.8","0.2",".",".",".","0.2","0.2"
"Undergraduates","1180","3.398","34.5","28.2","28.0","3.5","2.5","1.0","0.6","0.3",".","1.1","0.1",".",".",".","0.2","0.1"
"Special","9","3.267","55.6","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".","11.1",".","."
"Graduate","167","3.871","44.3","9.0","2.4",".",".",".",".","18.6","0.6","22.2",".","1.8","0.6",".","0.6","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","2","3.429","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","3","3.600","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dept. Total","1359","3.427","35.9","25.7","24.7","3.0","2.1","0.9","0.6","2.6","0.1","3.7","0.1","0.2","0.1","0.1","0.2","0.1"
