"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","46","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","271
101","14","3.143","21.4","14.3","35.7","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"","271
102","13","3.385","23.1","38.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","14","3.321","14.3","42.9","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
104","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","55","3.318","25.5","29.1","30.9","12.7","1.8",".",".",".",".",".",".",".",".",".",".","."
"Bl Mus-Rhythm Sec & Combos","308
001","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","29","3.804","72.4","17.2","3.4",".","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
002","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","346
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","Course Total","14","3.583","64.3","14.3",".",".",".",".","7.1","7.1",".",".",".",".",".",".","7.1","."
"Basic Concepts of Music","351
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","361
002","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","12","3.909","83.3",".","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concert Band","41
001","54","4.000","98.1",".",".",".",".",".",".",".",".",".",".",".",".","1.9",".","."
"Survey Music-Baroque Era","413
001","26","3.100","26.9","11.5","38.5","7.7","7.7",".","3.8","3.8",".",".",".",".",".",".",".","."
"Survey Music-Romantic Era","415
001","23","3.435","34.8","39.1","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","22","3.705","72.7","13.6","9.1",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Music in the United States","419
001","20","3.083","15.0","20.0","45.0","5.0",".",".","5.0","10.0",".",".",".",".",".",".",".","."
"Varsity Band","42
001","301","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","106","3.948","94.3","2.8",".",".","1.9",".",".","0.9",".",".",".",".",".",".",".","."
