"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","228
003","","19","3.645","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
004","","17","3.519","41.2","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","228
005","","23","3.766","60.9","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
007","","20","3.881","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","95","3.746","57.9","32.6","7.4","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","11","3.436","18.2","54.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","","21","3.082","19.0","38.1","9.5","4.8","19.0","4.8",".","4.8",".",".",".",".",".",".",".","."
"","271
003","","15","3.707","66.7","20.0",".",".",".","6.7",".","6.7",".",".",".",".",".",".",".","."
"","271
004","","10","3.468","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","","20","3.390","10.0","70.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","77","3.390","27.3","44.2","13.0","5.2","5.2","2.6",".","2.6",".",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","42","3.893","92.9",".","2.4","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","21","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
002","","20","3.425","40.0","35.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Adv Composition & Conversation","Course Total","","41","3.646","56.1","31.7","4.9","4.9",".","2.4",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","313
001","","22","3.591","40.9","45.5","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","24","3.667","45.8","41.7","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
321","","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","Course Total","","47","3.713","51.1","40.4","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","20","3.450","35.0","25.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","26","3.788","61.5","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","25","3.660","60.0","28.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Intro to Lit of Modernity","Course Total","","71","3.648","53.5","29.6","14.1","1.4",".","1.4",".",".",".",".",".",".",".",".",".","."
"Visual Cultr-Fr/Francophone St","325
001","","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","25","3.792","68.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".","4.0",".","."
"","347
002","","22","3.545","68.2","4.5","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","Course Total","","47","3.674","68.1","12.8","10.6","4.3",".",".","2.1",".",".",".",".",".",".","2.1",".","."
"Modernity Studies","348
001","","19","3.316","36.8","26.3","21.1","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","13","3.625","46.2","23.1","23.1",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Readings-Medieval & Renais Lit","430
001","","14","3.731","64.3","7.1","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"French/Francophone Film","465
001","","18","3.528","33.3","50.0","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Advanced Phonetics","590
001","","15","3.600","40.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Grammaire avancee","615
001","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","640
001","","11","3.650","45.5","27.3","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Prof French Masters Prg Intern","793
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 212 of 410",""
