"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"632
Companion Animal&Equine Med I","001","","81","3.388","29.6","25.9","38.3","1.2","3.7",".",".",".",".",".",".",".","1.2",".",".","."
"634
Food Animal Medicine","001","","81","3.056","9.9","14.8","61.7","3.7","9.9",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","20","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","21","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","20","3.600","35.0",".",".",".",".","5.0",".","60.0",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","36","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","12","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","30","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"675","002","","23","4.000","56.5",".",".",".",".",".",".","43.5",".",".",".",".",".",".",".","."
"675","003","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","007","","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"675","012","","23","4.000","95.7",".",".",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"675","026","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","135","4.000","30.4",".",".",".",".",".",".","69.6",".",".",".",".",".",".",".","."
"678","001","","41","4.000","61.0",".",".",".",".",".",".","39.0",".",".",".",".",".",".",".","."
"678","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","43","4.000","60.5",".",".",".",".",".",".","39.5",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","18","3.938","77.8","5.6",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"701
Production Medicine I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Production Medicine II","001","","13","4.000","38.5",".",".",".",".",".",".","61.5",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","7","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"775","001","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","55","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
