"NUCLEAR ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"271
Engr Problem Solving I","001","","33","3.061","36.4","21.2","18.2","3.0","12.1",".","9.1",".",".",".",".",".",".",".",".","."
"305
Fundamentals-Nuclear Engr","001","","34","3.191","41.2","20.6","23.5",".","2.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"373
Nuclear Energy & Envr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"406
Nuclear Reactor Analysis","001","","17","3.412","29.4","23.5","47.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"411
Nuclear Reactor Engineering","001","","20","2.711","5.0","5.0","25.0","50.0","10.0",".",".",".",".",".",".",".",".",".","5.0","."
"427
Nuclear Instrumentation Lab","001","","22","3.227","27.3","27.3","31.8","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","8","3.375","12.5","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"528
Plasma Processng & Technlgy","001","","15","3.214","33.3","20.0","13.3","20.0",".","6.7",".",".",".",".",".",".","6.7",".",".","."
"541
Radiation Damage in Metals","001","","20","3.200","25.0","10.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","35","3.300","25.7","25.7","34.3","11.4","2.9",".",".",".",".",".",".",".",".",".",".","."
"555
Nuclear Reactor Dynamics","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Power Plant Technology","001","","20","3.300","20.0","25.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"725
Plasma Kinetic&Radiatn Proc","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","18","",".",".",".",".",".",".",".","61.1",".",".",".","33.3","5.6",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"890","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","28","",".",".",".",".",".",".",".","67.9",".",".",".","32.1",".",".",".","."
"922
Seminar in Plasma Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
