"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","160","3.283","26.3","35.6","21.3","8.1","5.0","2.5","0.6","0.6",".",".",".",".",".",".",".","."
"","301
002","32","3.828","75.0","15.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
003","22","3.455","50.0","27.3","9.1","9.1",".",".","4.5",".",".",".",".",".",".",".",".","."
"","301
004","30","3.450","36.7","40.0","10.0","10.0",".","3.3",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","244","3.391","36.1","32.8","17.2","7.4","3.3","2.0","0.8","0.4",".",".",".",".",".",".",".","."
"","320
001","127","2.984","14.2","33.1","20.5","17.3","8.7","3.9","2.4",".",".",".",".",".",".",".",".","."
"","320
002","128","3.430","32.8","42.2","13.3","7.8","1.6","1.6","0.8",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","255","3.208","23.5","37.6","16.9","12.5","5.1","2.7","1.6",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","104","3.351","20.2","45.2","21.2","11.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"","506
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","506
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","521
001","30","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
002","28","3.625","28.6","67.9","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","58","3.681","41.4","53.4","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","11","3.847","72.7","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".",".","9.1"
"Smr-Research in Ed Psych I","709
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
004","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","009
711","24","3.833","70.8","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
010","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","86","3.925","88.4","9.3","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socl, Emotionl&Behav Assessmnt","741
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment of Acad Skill Probs","742
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","44","3.557","43.2","29.5","25.0",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"","760
002","33","3.424","27.3","33.3","36.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","77","3.500","36.4","31.2","29.9","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","20","3.868","75.0","15.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Test Construction","771
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Thought","792
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Learning Sciences I","795
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","15","3.857","73.3","13.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
