"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","502
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
002","","15","3.083","13.3","20.0",".",".",".",".","6.7","46.7",".",".",".",".","6.7","6.7",".","."
"Wkshp-Ed Leadership & Pol Anal","Course Total","","18","3.214","27.8","16.7",".",".",".",".","5.6","38.9",".",".",".",".","5.6","5.6",".","."
"","700
001","","10","3.778","70.0",".","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","700
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Admin","Course Total","","16","3.867","81.3",".","12.5",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Intro-Higher & Post-Sec Ed","701
001","","27","3.741","59.3","29.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval & Support Quality Teachng","703
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715
001","","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
001","","22","3.667","45.5","36.4","13.6",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","725
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","Course Total","","43","3.833","72.1","18.6","7.0",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Program Develop-Cont Educ","730
001","","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Admin Stdt Serv-Higher Educ","736
001","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadershp & Coord-Cont&Tech Ed","811
001","","10","3.900","40.0","10.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Financng Postsecondry Educ","831
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840
001","","18","3.719","61.1","16.7","5.6",".","5.6",".",".",".",".",".",".",".","11.1",".",".","."
"The School Principalship","845
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"The School Superintendency","846
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848
001","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","870
001","","13","3.667","46.2","38.5",".","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"","870
002","","10","3.650","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","Course Total","","23","3.659","47.8","39.1",".","8.7",".",".",".",".",".",".",".",".",".","4.3",".","."
"Appl Rsch in Ed Admin","890
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
003","","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"","940
004","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
940","","16","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".","6.3","6.3",".","."
"Topics Seminar-Educ Leadership","Course Total","","73","3.971","90.4","5.5",".",".",".",".",".",".",".",".",".",".","2.7","1.4",".","."
"Hierarchical Linear Modeling","964
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
012","","9","",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".",".",".","."
"","990
014","","7","",".",".",".",".",".",".",".","42.9",".",".",".","57.1",".",".",".","."
"","990
020","","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"","990
031","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
032","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
036","","9","",".",".",".",".",".",".",".","77.8",".",".",".","22.2",".",".",".","."
"","990
040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 89 of 410"
