"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","24","3.935","87.5","4.2","4.2",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","","205","3.387","35.6","32.7","18.0","5.9","3.9","2.0","1.0","0.5",".",".",".",".",".",".",".","0.5"
"","400
002","","9","3.583","44.4","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","400
004","","17","3.974","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
006","","11","3.948","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","","7","3.917","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","","15","3.850","66.7","26.7",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","400
010","","14","3.970","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","","9","3.938","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","94","3.904","83.0","14.9",".","1.1",".",".",".","1.1",".",".",".",".",".",".",".","."
"Poverty and Social Welfare","420
001","","25","3.660","72.0","4.0","12.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","24","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
003","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","","24","3.563","33.3","50.0","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","","93","3.790","67.7","23.7","7.5","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","","51","3.833","70.6","25.5","3.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","","44","3.875","79.5","15.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","","95","3.853","74.7","21.1","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Violence","523
001","","56","3.155","17.9","33.9","23.2","10.7","10.7","1.8",".",".",".",".",".",".",".",".",".","1.8"
"Special Topics in Social Work","579
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","605
001","","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
002","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","605
003","","19","3.447","21.1","57.9","10.5","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","","68","3.787","67.6","25.0","4.4","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","606
001","","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","606
002","","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","Course Total","","35","3.671","42.9","48.6","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","104","3.796","72.1","19.2","6.7",".",".",".","1.0",".",".",".",".",".",".",".",".","1.0"
"Soc Work & Devel Disabilities","644
001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
002","","20","3.675","60.0","35.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","646
003","","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","","69","3.831","73.9","23.2","1.4",".",".","1.4",".",".",".",".",".",".",".",".",".","."
"Understandng Latino Fam & Comm","657
001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","672
001","","22","3.750","68.2","22.7","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
