"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colloquium in Env Tox","606
001","","7","3.714","71.4",".","","28.6",".","","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Toxicology I","625
001","","4","***","","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"AHABS
952","Dept. Total","","11","3.500","54.5","",".","36.4","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","9.1","."
"Summary by Level","","#","","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.000",".","",".","100.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","2","3.500","50.0","",".","50.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","4","4.000","100.0","",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","7","3.714","71.4","",".","28.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","3.500","33.3","",".","33.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","33.3","."
"Graduate","","","1","3.000",".","",".","100.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","11","3.500","54.5","",".","36.4","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","9.1","."
