"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201","001","","119","2.691","11.8","10.1","15.1","41.2","16.0","4.2","0.8","0.8",".",".",".",".",".",".",".","."
"201","002","","104","2.626","4.8","12.5","22.1","42.3","11.5","1.9","3.8","1.0",".",".",".",".",".",".",".","."
"Statics","Course Total","","223","2.661","8.5","11.2","18.4","41.7","13.9","3.1","2.2","0.9",".",".",".",".",".",".",".","."
"202
Dynamics","001","","118","2.466","4.2","11.9","30.5","22.0","16.9","7.6","6.8",".",".",".",".",".",".",".",".","."
"303
Mechanics of Materials","001","","88","1.994","11.4","2.3","11.4","5.7","36.4","25.0","8.0",".",".",".",".",".",".",".",".","."
"307","001","","8","3.125","12.5","25.0","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"307","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","003","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","006","","6","2.417",".","16.7","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"307","007","","6","3.167","16.7","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"307","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","9","3.222",".","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","55","3.255","21.8","32.7","29.1","10.9","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","34","3.606","47.1","32.4","11.8","2.9","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","29","3.155","31.0","17.2","17.2","20.7","13.8",".",".",".",".",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","56","3.093","16.1","25.0","33.9","7.1","12.5","1.8",".","3.6",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","38","2.797",".","15.8","34.2","39.5","7.9",".",".","2.6",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","34","3.176","29.4","26.5","11.8","20.6","8.8","2.9",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"605
Intro to Finite Elements","001","","24","3.568","54.2","12.5","16.7",".","8.3",".",".","4.2",".",".",".",".","4.2",".",".","."
"630
Viscoelastic Solids","001","","20","3.714","35.0","30.0","5.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"690
Master's Research","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"700
Theory of Elasticity","001","","10","3.389","30.0","30.0","10.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"706
Plates,Shells&Pressr Vessel","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"708
Advanced Composite Material","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"722
Intro to Polymer Rheology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 122 of 410",""
