"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","80","3.608","43.8","25.0","23.8",".",".",".",".","7.5",".","",".",".","",".","",".","",".",".","."
"Asian American Movement","153
001","23","3.717","82.6","4.3",".","8.7",".","4.3",".",".",".","",".",".","",".","",".","",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","23","3.325","34.8","39.1","4.3",".",".",".","8.7","13.0",".","",".",".","",".","",".","",".",".","."
"Ethnic Movements in U.S.","220
001","21","3.595","52.4","28.6","9.5","4.8","4.8",".",".",".",".","",".",".","",".","",".","",".",".","."
"Topics-Asian Amer Studies","240
002","25","3.040","36.0","16.0","28.0",".","4.0","12.0","4.0",".",".","",".",".","",".","",".","",".",".","."
"Survey of Asian Americn Lit","270
001","14","3.536","35.7","42.9","14.3","7.1",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","540
001","26","3.423","50.0","23.1","7.7","7.7","7.7","3.8",".",".",".","",".",".","",".","",".","",".",".","."
"","540
002","19","3.605","57.9","10.5","26.3","5.3",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Special Topics","Course Total","45","3.500","53.3","17.8","15.6","6.7","4.4","2.2",".",".","",".",".","",".","",".","",".",".",".","."
"","560
001","33","2.688","3.0","24.2","24.2","18.2","21.2","3.0","3.0","3.0",".","",".",".","",".","",".","",".",".","."
"","560
002","33","2.727","9.1","30.3","21.2","18.2","9.1","3.0","9.1",".",".","",".",".","",".","",".","",".",".","."
"Humanities Topics","Course Total","66","2.708","6.1","27.3","22.7","18.2","15.2","3.0","6.1","1.5","",".",".","",".","",".","",".",".",".","."
"Asian Amer Women Writers","595
001","11","3.545","45.5","18.2","36.4",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"Ind Study:Directed Readings","699
001","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"ASIAN AM
184","Dept. Total","311","3.343","39.5","23.8","18.3","6.1","4.5","2.3","2.3","3.2","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.206","29.4","41.2","11.8",".","11.8",".","5.9",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","76","3.150","36.8","15.8","22.4","7.9","7.9","5.3","2.6","1.3","",".",".","",".","",".","",".",".",".","."
"Junior","","93","3.301","33.3","25.8","24.7","5.4","5.4","1.1","2.2","2.2","",".",".","",".","",".","",".",".",".","."
"Senior","","124","3.507","46.8","25.0","12.1","6.5","0.8","1.6","1.6","5.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","310","3.341","39.4","23.9","18.4","6.1","4.5","2.3","2.3","3.2","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","311","3.343","39.5","23.8","18.3","6.1","4.5","2.3","2.3","3.2","",".",".","",".","",".","",".",".",".","."
