"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","20","3.525","50.0","15.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","100
002","22","3.705","68.2","13.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","20","3.525","40.0","45.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
005","21","3.762","76.2","4.8","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","103","3.650","58.3","22.3","13.6","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","21","3.667","57.1","19.0","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","212
001","18","3.722","72.2",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","3.962","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","315
001","14","3.808","71.4","7.1","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Feature Writing","320
001","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","19","3.737","63.2","26.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","22","3.773","68.2","18.2","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","22","3.705","54.5","31.8","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
007","12","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
010","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
011","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","57","3.693","59.6","19.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising in Life Sciences","431
001","20","3.600","40.0","45.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","22","3.705","63.6","22.7","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","515
001","17","3.824","82.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","530
001","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","8","3.810","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Communication Thry&Rsch","720
001","18","3.861","72.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concep&Design-Mass Com Rsch","806
001","6","3.167","50.0","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","875
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
002","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","875
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","20","3.786","75.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Mass Communication","880
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
