"PROFESSIONAL ORIENTATION","Section","#","","Ave","A","AB","B","","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Career Orientation","200
001","","30","3.759","73.3","16.7","",".","3.3","",".","3.3",".","","3.3",".","",".",".","",".","",".","",".",".","."
"PRO OR
812","Dept. Total","","30","3.759","73.3","16.7","",".","3.3","",".","3.3","",".","3.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","3.000","66.7",".","",".",".","",".","33.3","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","8","3.875","75.0","25.0","",".",".","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","18","3.833","77.8","16.7","",".","5.6","",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","29","3.759","75.9","17.2","",".","3.4","",".","3.4","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","1","",".",".","",".",".","",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","30","3.759","73.3","16.7","",".","3.3","",".","3.3","",".","3.3","",".",".","",".","",".","",".",".",".","."
