"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","35","2.557","8.6","11.4","31.4","25.7","8.6","5.7","8.6",".",".",".",".",".",".",".",".","."
"","002
100","39","2.679","15.4","7.7","30.8","25.6","10.3","2.6","7.7",".",".",".",".",".",".",".",".","."
"","100
003","41","2.902","17.1","12.2","34.1","22.0","9.8","2.4","2.4",".",".",".",".",".",".",".",".","."
"","004
100","39","2.769","15.4","12.8","38.5","12.8","10.3","2.6","7.7",".",".",".",".",".",".",".",".","."
"","100
005","38","2.757","13.2","13.2","21.1","28.9","15.8","2.6","2.6",".","2.6",".",".",".",".",".",".","."
"","100
006","43","2.942","20.9","9.3","34.9","20.9","9.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"","100
007","44","2.802","18.2","13.6","22.7","25.0","6.8","9.1","2.3","2.3",".",".",".",".",".",".",".","."
"","100
008","41","2.939","24.4","7.3","34.1","19.5","4.9","9.8",".",".",".",".",".",".",".",".",".","."
"","100
009","44","2.909","11.4","15.9","36.4","29.5",".","6.8",".",".",".",".",".",".",".",".",".","."
"","100
010","41","2.720","14.6","9.8","31.7","17.1","17.1","7.3","2.4",".",".",".",".",".",".",".",".","."
"","100
011","41","2.805","17.1","14.6","29.3","14.6","17.1","2.4","4.9",".",".",".",".",".",".",".",".","."
"","100
012","32","2.919","25.0","12.5","18.8","15.6","18.8","6.3",".",".","3.1",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","478","2.812","16.7","11.7","30.5","21.5","10.5","5.0","3.3","0.2","0.4",".",".",".",".",".",".","."
"","211
001","38","2.645","21.1","2.6","23.7","10.5","31.6","10.5",".",".",".",".",".",".",".",".",".","."
"","211
002","40","2.900","25.0","12.5","27.5","12.5","12.5","7.5","2.5",".",".",".",".",".",".",".",".","."
"","211
003","40","2.775","22.5","10.0","32.5","5.0","17.5","7.5","5.0",".",".",".",".",".",".",".",".","."
"","211
004","39","2.782","20.5","5.1","30.8","23.1","12.8","2.6","5.1",".",".",".",".",".",".",".",".","."
"","211
005","42","3.190","35.7","19.0","21.4",".","21.4","2.4",".",".",".",".",".",".",".",".",".","."
"","006
211","39","2.679","20.5","5.1","25.6","23.1","10.3","12.8","2.6",".",".",".",".",".",".",".",".","."
"","211
007","43","3.151","37.2","11.6","25.6","4.7","18.6",".","2.3",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","281","2.883","26.3","9.6","26.7","11.0","17.8","6.0","2.5",".",".",".",".",".",".",".",".","."
"","300
001","40","3.179","27.5","17.5","32.5","12.5","5.0",".","2.5",".","2.5",".",".",".",".",".",".","."
"","300
002","45","3.189","35.6","13.3","28.9","6.7","13.3",".","2.2",".",".",".",".",".",".",".",".","."
"","300
003","40","3.175","35.0","27.5","17.5","7.5","2.5","5.0","5.0",".",".",".",".",".",".",".",".","."
"","300
004","45","3.128","20.0","24.4","24.4","13.3","13.3",".",".","4.4",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","170","3.168","29.4","20.6","25.9","10.0","8.8","1.2","2.4","1.2","0.6",".",".",".",".",".",".","."
"","301
001","39","3.410","15.4","53.8","28.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","44","3.364","22.7","54.5","13.6","4.5",".","2.3","2.3",".",".",".",".",".",".",".",".","."
"","301
003","39","3.423","23.1","46.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","34","3.309","20.6","47.1","14.7","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"","301
005","41","3.415","14.6","56.1","26.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","197","3.386","19.3","51.8","21.3","5.1","1.5","0.5","0.5",".",".",".",".",".",".",".",".","."
"Financial Reporting II","302
001","51","3.304","29.4","29.4","23.5","11.8","3.9","2.0",".",".",".",".",".",".",".",".",".","."
"","310
001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","34","3.603","44.1","32.4","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","54","3.704","55.6","29.6","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","329
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","329
002","14","2.536","7.1",".","21.4","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","Course Total","16","2.594","12.5",".","18.8","43.8","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"","340
001","46","3.250","26.1","15.2","41.3","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","47","3.447","29.8","36.2","27.7","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"","340
003","42","3.500","38.1","28.6","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","340
004","45","3.233","22.2","24.4","42.2","8.9",".",".","2.2",".",".",".",".",".",".",".",".","."
"Accounting Systems","Course Total","180","3.356","28.9","26.1","35.0","9.4",".",".","0.6",".",".",".",".",".",".",".",".","."
