"COUNSELING PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","","",""
"A Wisconsin Experience Seminar","Course Total","","169","3.891","83.4","11.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"620","021","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","","50","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Theory & Prac-Interviewing","001","","157","3.732","75.8","12.1","5.1","3.2","1.9","0.6","1.3",".",".",".",".",".",".",".",".","."
"699
Independent Reading","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"800
Theories of Counseling","001","","18","3.694","55.6","27.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Assess Tech for Counselors","001","","14","3.750","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"805
Tech&Microskills-Counselors","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"807","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"807","002","","9","3.683","77.8",".","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","","15","3.812","86.7",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"810","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"810","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master Intrshp-Cnslg & Guid","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"825
Csnlg Psych Tech-Families","001","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Multicultural Counseling","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"900","002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","Course Total","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"901","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Couns Psych Practicum","Course Total","","2","***","","","","","","","","","","","","","","","",""
"902
Practicum: Supervision","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"905
Rsch Pract in Counseling Psych","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Smr-Counseling Psychology","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Rsch Methods in Cnsl Psych","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"953
Rsch-Training & Supervision","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Rsch Methods in Cnsl Psych II","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","10","",".",".",".",".",".",".",".","40.0",".",".",".","60.0",".",".",".","."
"990","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","27","",".",".",".",".",".",".",".","70.4",".",".",".","29.6",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 81 of 410"
