"L&S","","","","","","","","","","","","","","","","","","","",""
"POLITICAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"POLI SCI
778","Dept. Total","3647","3.151","24.5","27.5","23.3","11.3","7.6","2.0","1.3","1.3","0.1","0.1","",".","0.5","0.1","0.2","0.2","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","437","2.932","14.0","24.3","25.2","19.2","12.1","3.4","1.1","0.2",".","0.2","",".",".",".","0.2",".","."
"Sophomore","","607","2.994","20.3","24.9","23.1","14.2","12.0","2.5","2.6",".","0.2",".","",".",".",".",".","0.2","0.2"
"Junior","","1075","3.158","21.5","30.3","27.2","10.9","5.9","2.4","1.2","0.2","0.1","0.2","",".",".",".","0.1","0.1","."
"Senior","","1247","3.245","27.7","29.4","23.1","9.7","6.7","1.4","1.0","0.6",".","0.2","",".","0.1","0.1","0.1","0.1","."
"Undergraduates","","3366","3.125","22.6","28.2","24.7","12.1","8.1","2.2","1.4","0.3","0.1","0.1","",".","0.0","0.0","0.1","0.1","0.0"
"Special","","52","2.923","7.7","13.5","17.3","3.8","5.8",".","3.8","30.8",".",".","",".",".","1.9","9.6","5.8","."
"Graduate","","229","3.794","56.8","21.0","4.4","0.4",".",".",".","9.2","0.4",".","",".","7.9",".",".",".","."
"","Dept. Total","3647","3.151","24.5","27.5","23.3","11.3","7.6","2.0","1.3","1.3","0.1","0.1","",".","0.5","0.1","0.2","0.2","0.0"
