"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","352","3.006","19.3","19.6","29.8","12.2","15.9","2.0","0.9","0.3",".",".",".",".",".",".",".","."
"132","002","","436","2.826","11.5","19.0","26.8","17.4","21.3","2.8","0.9",".",".",".",".",".",".",".",".","0.2"
"132","003","","181","2.844","14.9","16.6","26.0","12.2","26.5","2.2","0.6","1.1",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","","969","2.895","15.0","18.8","27.8","14.6","20.3","2.4","0.8","0.3",".",".",".",".",".",".",".","0.1"
"200
Prof-Dietetics & Nutrition","001","","91","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","21","3.810","76.2","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","24","3.815","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","85","2.865","22.4","15.3","25.9","14.1","12.9","4.7","4.7",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","55","3.127","16.4","25.5","36.4","14.5","5.5","1.8",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","31","3.774","64.5","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","002","","26","3.769","73.1","11.5","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","77","3.286","24.7","36.4","23.4","5.2","9.1","1.3",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.938","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875","001","","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","22","3.682","68.2","4.5","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"991","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","","Page 38 of 410"
