"Pre-Dissertator Research","Course Total","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5","",".",".",".","."
"","990
009","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
040","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","734","2.895","17.4","17.6","25.1","19.1","13.4","3.3","1.9","2.2",".",".",".","0.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","82","2.762","8.5","19.5","13.4","40.2","15.9","1.2","1.2",".",".",".",".",".","",".",".",".","."
"Sophomore","","210","2.779","12.9","16.7","24.8","24.8","15.7","1.9","3.3",".",".",".",".",".","",".",".",".","."
"Junior","","160","2.723","13.8","16.3","28.1","15.6","17.5","6.3","2.5",".",".",".",".",".","",".",".",".","."
"Senior","","207","3.017","18.8","21.7","32.4","12.1","10.1","3.9","1.0",".",".",".",".",".","",".",".",".","."
"Undergraduates","","659","2.840","14.4","18.5","26.6","20.5","14.4","3.5","2.1",".",".",".",".",".","",".",".",".","."
"Special","","13","3.206","38.5",".","23.1","30.8",".",".",".","7.7",".",".",".",".","",".",".",".","."
"Graduate","","62","3.565","45.2","11.3","9.7","1.6","4.8","1.6",".","24.2",".",".",".","1.6","",".",".",".","."
"","Dept. Total","734","2.895","17.4","17.6","25.1","19.1","13.4","3.3","1.9","2.2",".",".",".","0.1","",".",".",".","."
