"L&S","","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1742","3.022","22.2","18.5","24.0","13.3","12.9","2.6","1.3","2.8","",".","0.2","",".","1.3","0.4","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","317","2.809","11.4","13.2","28.7","22.7","20.5","2.5","0.6",".","",".",".","",".",".",".","0.3",".","."
"Sophomore","","413","2.968","16.9","22.8","24.7","16.9","13.8","2.7","1.9",".","",".",".","",".",".",".","0.2",".","."
"Junior","","336","2.938","21.4","16.4","28.3","12.8","16.1","3.6","1.5",".","",".",".","",".",".",".",".",".","."
"Senior","","432","3.066","25.5","19.7","25.5","9.5","11.3","3.2","1.6","2.5","",".",".","",".",".","0.7","0.2","0.2","."
"Undergraduates","","1498","2.951","19.2","18.4","26.6","15.1","15.0","3.0","1.5","0.7","",".",".","",".",".","0.2","0.2","0.1","."
"Special","","27","3.397","37.0","7.4","11.1","11.1",".","3.7",".","25.9","",".",".","",".",".",".",".",".","3.7"
"Graduate","","216","3.695","40.7","20.4","7.9","1.4",".",".",".","14.4","",".","1.9","",".","10.2","1.9",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1742","3.022","22.2","18.5","24.0","13.3","12.9","2.6","1.3","2.8","",".","0.2","",".","1.3","0.4","0.2","0.1","0.1"
