"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","",""
"BIOLOGICAL SYSTEMS ENGINE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","",""
"Livestock Housing&Waste Mgt","210
001","14","3.071","21.4","14.3","50.0",".","7.1","7.1",".",".",".",".",".",".",".",".",".","."
"Irrigation Sys-Design & Use","216
001","16","2.967","18.8","6.3","31.3","25.0","12.5",".",".",".",".",".",".",".",".",".","6.3","."
"Drainage Systems","218
001","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Spark Ignitn&Diesel Engines","243
001","14","2.929","14.3","21.4","21.4","21.4","21.4",".",".",".",".",".",".",".",".",".",".","."
"Tractors","245
001","12","2.458","8.3","16.7","25.0","25.0","8.3",".","16.7",".",".",".",".",".",".",".",".","."
"Independent Study","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Struct Design-Ag Facilities","351
001","13","3.115","7.7","23.1","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Tractor and Power Equipment","362
001","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys","365
001","22","2.091","4.5","4.5","13.6","13.6","36.4","27.3",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sedmnt & Bio-Nutr Engr&Mgmt","472
002","10","3.300","10.0","50.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Biol & Ag Engr Design Lab","502
001","24","3.375","41.7","8.3","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Food Engineering Operations","542
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Watershed Engineering","571
001","10","3.050","20.0","20.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","990
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","14","",".",".",".",".",".",".",".","35.7",".",".",".","64.3",".",".",".","."
"Special Problems","999
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"BSE
112","Dept. Total","170","2.953","18.2","14.7","29.4","12.4","10.6","4.1","1.2","2.9",".",".",".","5.3",".",".","1.2","."
