"","699
001","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
004","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
02","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Independent Project","Course Total","6","3.727","83.3",".","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"DANCE
741","Dept. Total","881","3.578","49.3","21.1","10.9","1.8","1.1","0.7","1.0","13.1","",".",".","",".","",".","0.2","0.5","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.585","52.1","21.9","15.1","2.7","1.4",".",".","5.5","",".",".","",".","",".","1.4",".",".","."
"Sophomore","","171","3.645","58.5","21.1","13.5","1.2","1.2","0.6",".","2.3","",".",".","",".","",".","0.6","0.6","0.6","."
"Junior","","110","3.542","57.3","15.5","15.5","2.7","0.9","0.9","1.8","5.5","",".",".","",".","",".",".",".",".","."
"Senior","","441","3.566","45.1","23.1","8.6","2.0","1.4","0.9","1.1","16.8","",".",".","",".","",".",".","0.5","0.5","."
"Undergraduates","","795","3.582","50.3","21.5","11.2","2.0","1.3","0.8","0.9","11.1","",".",".","",".","",".","0.3","0.4","0.4","."
"Special","","17","2.942","29.4","35.3","11.8",".",".",".","11.8","11.8","",".",".","",".","",".",".",".",".","."
"Graduate","","63","3.822","42.9","11.1","6.3",".",".",".",".","38.1","",".",".","",".","",".",".","1.6",".","."
"Prof Yr 2","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","4","3.500","25.0","50.0","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","6","3.667","33.3","33.3","16.7",".",".",".",".","16.7","",".",".","",".","",".",".",".",".","."
"","Dept. Total","881","3.578","49.3","21.1","10.9","1.8","1.1","0.7","1.0","13.1","",".",".","",".","",".","0.2","0.5","0.3","."
