"LINGUISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"550
LINGUIS","","","","","","","","","","","","","","","","","","",""
"Human Language","101
001","236","3.006","19.1","24.6","30.1","9.7","9.7","4.2","2.5",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","24","3.357","41.7","4.2","29.2",".","12.5",".",".","4.2",".",".",".",".",".","4.2",".","4.2"
"Intro to Linguis:Historical","302
001","23","3.457","56.5","21.7","4.3","8.7",".","8.7",".",".",".",".",".",".",".",".",".","."
"Grammatcl Variablty-Languag","309
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Morphology","322
001","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semantics","340
001","9","3.333","11.1","66.7","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Topics in Linguistics","373
001","10","3.750","60.0","10.0",".","10.0",".",".",".","10.0",".",".",".",".",".",".","10.0","."
"Field Methods I","001
426","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","482
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","482
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Tutorial","Course Total","2","***","","","","","","","","","","","","","","","",""
"Phonological Theories","510
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Syntactic Theories","530
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","977
001","6","3.800","50.0",".","16.7",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"","990
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
038","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
07","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","14","",".",".",".",".",".",".",".","64.3",".",".",".","35.7",".",".",".","."
"Independent Reading","999
038","1","***","","","","","","","","","",".",".",".",".",".",".","."
"LINGUIS
550","Dept. Total","375","3.205","30.9","21.6","22.4","6.9","7.2","3.2","1.6","3.5",".",".",".","1.3","0.5","0.3","0.3","0.3"
