"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"201
Survey of Biochemistry","001","","43","2.826","20.9","9.3","32.6","7.0","23.3","4.7","2.3",".",".",".",".",".",".",".",".","."
"289","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"289","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.938","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Introduction-Biochemistry","001","","241","3.134","25.7","15.8","36.1","6.6","12.0","2.5",".","0.4",".",".",".",".","0.8",".",".","."
"508
General Biochemistry II","001","","128","3.155","38.3","15.6","19.5","8.6","10.9","0.8","5.5","0.8",".",".",".",".",".",".",".","."
"511","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","25","3.600","36.0","48.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","003","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","","50","3.770","64.0","26.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Topics in Medical Biochem","001","","41","3.050","22.0","7.3","46.3","7.3","12.2","2.4",".",".",".",".",".",".",".",".","2.4","."
"602
Biochem Mech-Regulatn/Cell","001","","51","3.470","27.5","37.3","33.3",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"603
Eukaryotic Molecular Biol","001","","38","3.592","52.6","15.8","28.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"625
Coemzymes&Cofactrs-Enzymlgy","001","","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Biochemical Methods","001","","62","3.145","27.4","17.7","35.5","4.8","9.7","4.8",".",".",".",".",".",".",".",".",".","."
"682","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
