"COMPUTER SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","",""
"Thry & Desgn-Progrmg Langs","538","001","","47","2.968","34.0","12.8","23.4","14.9","4.3",".","10.6",".",".",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","539","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540","001","","66","2.913","25.8","19.7","15.2","15.2","15.2","6.1","3.0",".",".",".",".",".",".",".",".","."
"Natural Lang & Computing","545","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computers and Society","550","001","","42","3.310","28.6","28.6","31.0","9.5",".",".","2.4",".",".",".",".",".",".",".",".","."
"","552","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","552","002","","21","2.548","14.3","14.3","14.3","19.0","23.8","9.5","4.8",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","26","2.692","15.4","23.1","11.5","15.4","23.1","7.7","3.8",".",".",".",".",".",".",".",".","."
"Intro-Computationl Geometry","558","001","","10","3.111","50.0","10.0",".","10.0","10.0",".","10.0",".",".",".",".",".",".","10.0",".","."
"Computer Graphics","559","001","","56","3.445","44.6","23.2","19.6",".","8.9","1.8",".","1.8",".",".",".",".",".",".",".","."
"Database Mgt Systems","564","001","","65","3.466","43.1","30.8","9.2","9.2","4.6","1.5",".","1.5",".",".",".",".",".",".",".","."
"","577","001","","67","3.776","70.1","19.4","7.5","1.5","1.5",".",".",".",".",".",".",".",".",".",".","."
"","577","002","","65","3.708","64.6","21.5","9.2","3.1",".","1.5",".",".",".",".",".",".",".",".",".","."
"Introduction to Algorithms","","Course Total","","132","3.742","67.4","20.5","8.3","2.3","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","087","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","17","3.810","76.5","5.9","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Prog Language&Compilers","703","001","","18","3.529","83.3",".",".",".",".",".","11.1","5.6",".",".",".",".",".",".",".","."
"Finite Difference Methods","712","001","","19","3.763","73.7","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Progm Algorithms","730","001","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Artificial Intelligence","731","001","","26","3.596","42.3","42.3","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced Operating Systems","736","001","","17","3.559","35.3","41.2","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Distributed Systems","739","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Computer Networks","740","001","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cmputr Sys Anal Techniq","747","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Computer Architecture I","752","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"VLSI Systems Design","755","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Computr Architecture II","757","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Database Mgt Systems","764","001","","43","3.643","48.8","27.9","20.9",".",".",".",".","2.3",".",".",".",".",".",".",".","."
