"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","62","2.672","8.1","12.9","16.1","32.3","27.4","1.6",".","1.6",".",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262","001","","47","2.926","25.5","14.9","31.9","8.5","10.6",".","8.5",".",".",".",".",".",".",".",".","."
"","299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","312","001","","16","3.500","31.3","43.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","312","002","","20","3.289","5.0","50.0","35.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Graphics for Designers","","Course Total","","36","3.386","16.7","47.2","27.8","5.6",".",".",".","2.8",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","22","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353","001","","24","3.229","25.0","25.0","25.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Open Space Planning&Design","451","001","","22","3.523","18.2","68.2","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","11","2.318","9.1",".","27.3","9.1","36.4","18.2",".",".",".",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","","20","3.139","20.0","25.0","30.0","10.0",".",".","5.0",".",".",".",".",".","10.0",".",".","."
"Plant Commun Restoratn&Mgmt","651","001","","17","3.500","58.8","23.5","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Computerzd Land Info Systms","655","001","","22","2.591","13.6","4.5","27.3","13.6","31.8","9.1",".",".",".",".",".",".",".",".",".","."
"","699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Nat Plnt Comm Restoratn&Mgt","866","001","","6","3.625","33.3","16.7","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"","990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","15","",".",".",".",".",".",".",".","46.7",".",".",".","46.7",".","6.7",".","."
