"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"","104
001","","15","3.107","33.3","13.3","13.3","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".","."
"","002
104","","22","3.548","40.9","27.3","22.7","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"","104
003","","17","3.063","17.6","29.4","29.4","5.9","5.9",".","5.9",".",".",".",".",".",".",".","5.9","."
"","104
004","","13","2.885","38.5","15.4","7.7","7.7","7.7","23.1",".",".",".",".",".",".",".",".",".","."
"","104
005","","16","3.406","62.5","6.3","6.3",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Elementary Latin","Course Total","","83","3.238","38.6","19.3","16.9","7.2","8.4","4.8","1.2","2.4",".",".",".",".",".",".","1.2","."
"","204
001","","22","3.523","59.1","13.6","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","204
002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Latin Literature","Course Total","","29","3.586","58.6","20.7","6.9","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"Latin Lit of Roman Empire","302
001","","15","3.000","33.3","20.0","6.7","6.7","20.0",".","6.7","6.7",".",".",".",".",".",".",".","."
"Elem Prose Composition","001
505","","12","3.583","58.3","16.7","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Latin Poetry","519
001","","10","3.667","60.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","10.0","."
"Directed Study","699
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
