"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","284","3.479","44.0","28.5","17.3","6.7","1.8","0.4","1.1","0.4",".",".",".",".",".",".",".","."
"Voice Training","140
001","14","3.607","78.6","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","150
001","17","3.441","35.3","35.3","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","150
002","18","3.676","77.8","5.6",".",".","5.6","5.6",".","5.6",".",".",".",".",".",".",".","."
"","150
003","18","3.694","66.7","27.8",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","004
150","16","3.964","81.3","6.3",".",".",".",".",".","6.3","6.3",".",".",".",".",".",".","."
"","005
150","18","3.706","72.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".",".",".","5.6"
"","150
006","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","150
008","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
009","13","3.818","61.5","15.4","7.7",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","150
010","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","170","3.774","72.4","15.9","3.5","0.6","2.9","1.2",".","2.4","0.6",".",".",".",".",".",".","0.6"
"","161
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","006
161","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
007","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
161","6","3.083","33.3","50.0",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","161
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","45","3.811","80.0","15.6","2.2",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","15","2.696","20.0","20.0","6.7","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".","."
"Writing-Theatre&Performance","200
001","18","3.639","33.3","61.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrld Theatre&Drama from 18c","222
001","69","3.096","13.0","18.8","47.8","14.5","2.9","1.4",".","1.4",".",".",".",".",".",".",".","."
"History of Theatre","231
001","69","3.531","37.7","37.7","14.5","1.4","1.4",".","1.4","5.8",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
002","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","36","3.875","77.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals-Movemnt for Stage","001
342","14","3.500","42.9","35.7","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","29","3.594","51.7","17.2","24.1","3.4",".",".",".",".",".",".",".",".",".","3.4",".","."
"","362
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
003","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Education","Course Total","27","3.648","51.9","33.3","11.1",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Prin&Practice-Stage Costume","001
363","13","3.652","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","15","3.060","13.3","26.7","20.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Set Design I","372
001","16","3.500","18.8","62.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
