"EDU","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","",""
"395
001
Technol-Secondary Schl Math","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"396
001
Teaching of English","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399
21","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Independent Study","","3","***","","","","","","","","","","","","","","","",""
"408
001
Student Teaching-Japanese","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"422
001","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"422
002","","37","3.892","86.5","10.8",".",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Course Total
The Teaching of Children's Lit","","72","3.938","91.7","6.9",".",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"425
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
002","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
003","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Concrn&Constrnt-Tch Yng Chl","","71","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"431
001
Young Adult Lit for Schools","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"446
001
Stdt Teach-Sec Schl French","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"447
001
Stdt Teach-Sec Schl German","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"456
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"456
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Stdt Teach-Sec Schl Spanish","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"457
001
Stdt Tchg-Health Education","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"458
001
Stdt Tch-His&Soc St Mid Sch","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"459
001
Stdt Tchg Hist&Soc St in HS","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"462
001
Thtr-Yng Audiences:Productn","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"463
001
Seminar:K-Mid Schl Teaching","","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"464
001","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"464
003","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg in Elem School","","68","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"465
002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Tchg-Kindergarten","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"466
002","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Elem","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"467
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"467
002","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Stdt Teaching-Music:Secndry","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"472
001
Stdt Teaching Engl-Mid Schl","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"490
001
Stdt Teach-Science in H.S.","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"492
001
Student Teaching-Com Dis","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"494
001
Student Teaching in HS Math","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"495
001
Stdt Teach Sci-MiddleSchl","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
