"","990
052","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
107","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
120","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PhD Thesis-Marketing","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"MARKETNG
237","Dept. Total","1587","3.377","27.3","34.4","27.0","8.3","1.6","0.3","0.1","0.9","",".",".","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","3.250",".","50.0","50.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","457","3.197","16.4","27.4","38.7","15.1","2.0","0.4",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","761","3.401","28.3","35.3","26.1","6.8","1.7","0.4","0.1","1.2","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1222","3.324","23.7","32.4","30.9","9.9","1.8","0.4","0.1","0.7","",".",".","",".","",".","",".",".",".","."
"Special","","19","3.132","5.3","42.1","31.6","15.8","5.3",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","342","3.592","41.2","40.9","13.2","1.8","0.9",".",".","1.8","",".",".","",".","",".","",".",".","0.3","."
"Prof Yr 2","","3","3.333","33.3","33.3",".","33.3",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","4","3.375","25.0","50.0",".","25.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","1587","3.377","27.3","34.4","27.0","8.3","1.6","0.3","0.1","0.9","",".",".","",".","",".","",".",".","0.1","."
