"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"General Physics","103","001","297","2.936","17.8","17.8","24.6","19.9","17.2","2.0","0.7",".",".",".",".",".",".",".",".","."
"","104","001","279","2.934","23.7","17.2","16.8","16.1","21.5","4.7",".",".",".",".",".",".",".",".",".","."
"","104","002","182","2.721","15.4","13.2","17.0","18.7","28.6","4.9","0.5","1.6",".",".",".",".",".",".",".","."
"General Physics","","Course Total","461","2.850","20.4","15.6","16.9","17.1","24.3","4.8","0.2","0.7",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107","001","118","3.222","26.3","24.6","25.4","14.4","7.6","0.8",".",".",".",".",".",".",".","0.8",".","."
"","109","001","96","3.151","22.9","29.2","21.9","15.6","7.3","2.1","1.0",".",".",".",".",".",".",".",".","."
"","109","002","86","3.163","20.9","26.7","36.0","10.5","2.3",".","3.5",".",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","182","3.157","22.0","28.0","28.6","13.2","4.9","1.1","2.2",".",".",".",".",".",".",".",".","."
"Energy","115","001","11","3.300",".","54.5","36.4",".",".",".",".",".",".",".",".",".",".","9.1",".","."
"","201","001","213","2.814","16.0","18.3","15.5","21.6","24.4","2.8","0.9",".",".",".",".",".",".","0.5",".","."
"","201","002","123","2.984","22.8","20.3","18.7","15.4","19.5","2.4","0.8",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","336","2.876","18.5","19.0","16.7","19.3","22.6","2.7","0.9",".",".",".",".",".",".","0.3",".","."
"","202","001","190","2.947","20.0","13.7","23.7","27.4","12.1","1.6","1.1",".",".",".",".",".","0.5",".",".","."
"","202","002","181","2.917","16.6","14.9","29.3","22.7","13.8","1.1","1.7",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","371","2.932","18.3","14.3","26.4","25.1","12.9","1.3","1.3",".",".",".",".",".","0.3",".",".","."
"Mod Physics for Engineers","205","001","31","3.081","12.9","38.7","16.1","22.6","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"General Physics","207","001","134","2.771","18.7","6.7","15.7","24.6","32.1",".",".",".",".",".",".",".","2.2",".",".","."
"General Physics","208","001","161","3.071","20.5","16.1","36.0","16.8","8.1","2.5",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","29","3.155","44.8","6.9","20.7","3.4","17.2","6.9",".",".",".",".",".",".",".",".",".","."
"Modern Physics","244","001","53","2.925","13.2","13.2","41.5","9.4","22.6",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248","001","24","3.313","29.2","20.8","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics Today","301","001","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308","001","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","308","004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","","Course Total","13","3.231","23.1","46.2","23.1",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Mechanics","311","001","32","3.703","87.5","3.1","3.1",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322","001","34","2.985","17.6","26.5","29.4","11.8","8.8",".","5.9",".",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325","001","15","3.067","40.0","20.0","13.3","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371","001","22","3.409","22.7","40.9","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Thermal Physics","415","001","23","2.848","21.7","17.4","21.7","13.0","13.0","13.0",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449","001","20","3.194","25.0","20.0","25.0","15.0",".","5.0",".","5.0",".",".",".",".","5.0",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","499","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics in Physics","505","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating","527","001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Mechanics","531","001","11","3.250","36.4","27.3","18.2",".",".",".","9.1",".",".",".",".",".",".",".","9.1","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 270 of 392",""
