"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","53","3.529","39.6","34.0","17.0","5.7","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Technical Info Resources","151
003","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
001","17","3.059","17.6","11.8","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
155","17","3.265","41.2","23.5","17.6","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","155
003","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","18","3.250","50.0","5.6","16.7","22.2",".",".","5.6",".",".",".",".",".",".",".",".","."
"","155
005","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.737","68.4","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.789","65.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"","155
008","19","3.263","15.8","21.1","63.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","20","2.900","15.0","10.0","45.0","20.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","010
155","18","3.528","38.9","44.4","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","011
155","19","3.000","5.3","21.1","42.1","31.6",".",".",".",".",".",".",".",".",".",".",".","."
"","155
012","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
013","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","241","3.467","45.6","21.2","20.7","9.5","1.2",".","1.2",".",".",".",".",".",".","0.4",".","."
"","199
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Freshman Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Teams & Engr Profession","265
001","17","3.676","64.7","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.412","47.1","29.4","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","275
002","19","3.528","52.6","26.3","10.5",".",".",".","5.3",".",".",".",".",".",".","5.3",".","."
"","003
275","19","3.806","63.2","26.3","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","55","3.585","54.5","27.3","7.3","1.8","1.8","1.8","1.8","1.8",".",".",".",".",".","1.8",".","."
"Sophomore Independent Study","299
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intermed Tech Japanese I","374
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","6","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"User Manuals/Software Docmt","392
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","001
397","149","3.530","44.3","28.2","22.1","2.7","2.0",".","0.7",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Independent Study","499
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","518
001","30","3.733","60.0","33.3","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Engr/Bus Data Communications","519
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
