"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"198
008","15","",".",".",".",".",".",".",".",".",".","93.3",".",".",".",".","6.7","."
"198
009","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
011","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
014","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
017","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
031","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"198
040","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
042","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","95","",".",".",".",".",".",".",".",".",".","98.9",".",".",".",".","1.1","."
"001
200
Critical Thinkng & Expressn","118","3.131","10.2","28.8","48.3","5.9","5.9",".","0.8",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","84","3.220","27.4","22.6","23.8","19.0","7.1",".",".",".",".",".",".",".",".",".",".","."
"202
001
W Culture:Sci,Tech,Phil II","134","3.098","14.9","22.4","37.3","19.4","2.2","2.2",".","0.7",".",".",".",".",".","0.7",".","."
"203
001
West Culture:Lit&The Arts I","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","213","3.304","18.3","39.0","32.9","7.5","0.9",".","0.9","0.5",".",".",".",".",".",".",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","392","3.205","18.4","27.8","36.7","10.2","2.8","1.0","0.8","2.0",".",".",".",".",".","0.3",".","."
"208
001
Hist of Western Culture II","52","2.894","7.7","23.1","32.7","21.2","13.5",".","1.9",".",".",".",".",".",".",".",".","."
"234
001
Genres-Westrn Relig Writing","35","3.186","28.6","28.6","25.7","8.6","2.9",".","5.7",".",".",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","13","3.308","7.7","46.2","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"001
275","12","2.875","16.7","41.7","16.7",".","8.3","8.3","8.3",".",".",".",".",".",".",".",".","."
"002
275","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Special Topics in ILS","19","3.117","26.3","31.6","21.1","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"400
001
Capstone Integration Seminar","21","3.650","52.4","19.0","23.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"401
001
Global Culture Capstone Smr","20","4.000","95.0",".",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"ILS
Dept. Total
500","1215","3.218","18.5","26.3","31.7","9.9","3.1","0.7","0.8","0.9",".","7.7",".",".","0.1","0.2","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","336","3.079","11.0","23.5","34.2","11.0","4.5","1.2","1.2",".",".","13.4",".",".",".",".",".","."
"Sophomore","520","3.212","17.1","25.4","33.3","11.9","2.1","0.4","0.6","0.4",".","8.7",".",".",".",".","0.2","."
"Junior","180","3.318","22.2","33.9","30.6","7.2","2.8",".","0.6","0.6",".","1.1",".",".","0.6","0.6",".","."
"Senior","178","3.372","33.1","27.0","23.6","4.5","3.9","1.1","1.1","3.9",".","1.1",".",".",".","0.6",".","."
"Undergraduates","1214","3.218","18.5","26.4","31.7","9.9","3.1","0.7","0.8","0.8",".","7.7",".",".","0.1","0.2","0.1","."
"Special","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Dept. Total","1215","3.218","18.5","26.3","31.7","9.9","3.1","0.7","0.8","0.9",".","7.7",".",".","0.1","0.2","0.1","."
