"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"419","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Stat Expermntl Design-Engrs","001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"440
Intermediate Vibrations","001","","12","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"447","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"447","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"447","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"447","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","Course Total","","17","3.406","47.1","17.6","23.5",".",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"450
Design&Dynamics of Vehicles","001","","21","2.789","23.8","14.3","14.3","14.3","14.3",".","9.5","9.5",".",".",".",".",".",".",".","."
"466
Air Pollutn-Measure&Control","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"471
Gas Turbines&Jet Propulsion","001","","14","3.464","42.9","28.6","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"491","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","050","","16","3.800","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"491","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mech Engr Projects I","Course Total","","29","3.893","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"492","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"492","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"492","050","","18","3.882","77.8","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Mech Engr Projects II","Course Total","","24","3.900","83.3","12.5",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"508
Composite Materials","001","","11","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"520
2-Phase Flow & Heat Transfr","001","","6","3.800","50.0","33.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"540
Exp Vib & Dynamic Sys Anal","001","","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"545
Fluid Power","001","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Intro-Computationl Geometry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"563
Intermediate Fluid Dynamics","001","","28","3.536","39.3","32.1","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"564
Heat Transfer","001","","9","3.563","33.3","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"572
Intermediate Gas Dynamics","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"577
Automatic Controls Lab","001","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Special Topics-Mech Engr","001","","56","3.696","55.4","28.6","16.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Design & Anal-Manufact Sys","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 132 of 392",""
