"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Rhythmic/Step Aerobics","Course Total","157","3.583","35.7","27.4","10.2","1.9",".",".","1.3","22.9",".",".",".",".",".","0.6",".","."
"","134
001","14","3.818","50.0","28.6",".",".",".",".",".","21.4",".",".",".",".",".",".",".","."
"","002
134","28","3.870","64.3","14.3","3.6",".",".",".",".","17.9",".",".",".",".",".",".",".","."
"","003
134","26","3.588","46.2","11.5",".","3.8",".",".","3.8","23.1","11.5",".",".",".",".",".",".","."
"","134
004","20","3.357","20.0","5.0","5.0",".",".","5.0",".","65.0",".",".",".",".",".",".",".","."
"","134
005","20","3.467","15.0","45.0","10.0","5.0",".",".",".","25.0",".",".",".",".",".",".",".","."
"","134
006","17","3.375","17.6","23.5","23.5","5.9",".",".",".","29.4",".",".",".",".",".",".",".","."
"","134
007","20","3.500","15.0","40.0","15.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","145","3.606","34.5","22.8","7.6","2.1",".","0.7","0.7","29.7","2.1",".",".",".",".",".",".","."
"","138
001","19","3.375","5.3","5.3","10.5",".",".",".",".","78.9",".",".",".",".",".",".",".","."
"","138
002","14","3.600","21.4",".","14.3",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"","138
003","18","3.000",".",".","11.1",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"","138
004","19","3.750","36.8","21.1","5.3",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"","138
005","18","3.786","50.0","22.2","5.6",".",".",".",".","16.7",".",".",".",".","5.6",".",".","."
"","138
006","16","3.800","37.5","25.0",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Golf I","Course Total","104","3.691","25.0","12.5","7.7",".",".",".",".","53.8",".",".",".",".","1.0",".",".","."
"","001
140","27","3.722","33.3","29.6","3.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","140
002","25","3.471","28.0","16.0","20.0",".","4.0",".",".","28.0","4.0",".",".",".",".",".",".","."
"","140
003","19","3.273","31.6","5.3","10.5","5.3",".",".","5.3","42.1",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","71","3.522","31.0","18.3","11.3","1.4","1.4",".","1.4","33.8","1.4",".",".",".",".",".",".","."
"Ice Skating II","001
145","22","3.344","40.9","9.1","4.5","13.6",".",".","4.5","27.3",".",".",".",".",".",".",".","."
"","155
001","15","3.000","6.7","6.7","40.0","6.7","6.7",".",".","33.3",".",".",".",".",".",".",".","."
"","155
002","17","3.583","23.5","35.3","11.8",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Badminton I","Course Total","32","3.318","15.6","21.9","25.0","3.1","3.1",".",".","31.3",".",".",".",".",".",".",".","."
"","157
001","25","3.525","28.0","28.0","24.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","157
002","17","3.438","23.5","47.1","11.8","11.8",".",".",".","5.9",".",".",".",".",".",".",".","."
"","157
003","23","3.452","26.1","39.1","17.4","8.7",".",".",".","4.3",".",".",".",".",".","4.3",".","."
"Topics in Fencing","Course Total","65","3.474","26.2","36.9","18.5","6.2",".",".",".","10.8",".",".",".",".",".","1.5",".","."
"","162
001","20","3.967","70.0","5.0",".",".",".",".",".","20.0",".",".",".",".",".","5.0",".","."
"","002
162","14","3.357","14.3","7.1","28.6",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","162
003","18","3.400","5.6","11.1","11.1",".",".",".",".","72.2",".",".",".",".",".",".",".","."
"Tennis I","Course Total","52","3.704","32.7","7.7","11.5",".",".",".",".","46.2",".",".",".",".",".","1.9",".","."
"","163
001","12","3.688","25.0","41.7",".",".",".",".",".","25.0","8.3",".",".",".",".",".",".","."
"","002
163","15","3.350","33.3","20.0","6.7",".",".",".","6.7","26.7",".",".",".",".",".","6.7",".","."
"","003
163","12","3.850","58.3","25.0",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","004
163","13","3.778","46.2","15.4","7.7",".",".",".",".","30.8",".",".",".",".",".",".",".","."
"Racquetball I","Course Total","52","3.662","40.4","25.0","3.8",".",".",".","1.9","25.0","1.9",".",".",".",".","1.9",".","."
"Basketball I","170
001","23","3.447","26.1","30.4","21.7",".","4.3",".",".","17.4",".",".",".",".",".",".",".","."
"Soccer I","173
001","24","3.659","50.0","29.2","8.3",".","4.2",".",".","8.3",".",".",".",".",".",".",".","."
"","175
001","25","3.690","56.0","8.0","16.0","4.0",".",".",".","16.0",".",".",".",".",".",".",".","."
"","175
002","24","3.659","41.7","41.7","4.2","4.2",".",".",".","8.3",".",".",".",".",".",".",".","."
"","003
175","26","3.525","42.3","3.8","26.9",".","3.8",".",".","23.1",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","75","3.627","46.7","17.3","16.0","2.7","1.3",".",".","16.0",".",".",".",".",".",".",".","."
"Orienteering","194
001","11","3.650","54.5","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 97 of 392"
