"","990
081","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
082","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","57","",".",".",".",".",".",".","",".","78.9",".",".",".","17.5","1.8",".","1.8","."
"AHABS
952","Dept. Total","134","3.546","36.6","6.7","9.0","1.5","2.2","0.7","",".","33.6",".",".",".","7.5","0.7","0.7","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","5","3.364","60.0","20.0",".",".","20.0",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","2","3.700","50.0","50.0",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","24","3.304","50.0","8.3","20.8","8.3","8.3","4.2","",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","31","3.335","51.6","12.9","16.1","6.5","9.7","3.2","",".",".",".",".",".",".",".",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Graduate","","100","3.712","31.0","5.0","7.0",".",".",".","",".","45.0",".",".",".","10.0",".","1.0","1.0","."
"Prof Yr 1","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"Professionals","","1","",".",".",".",".",".",".","",".",".",".",".",".",".","100.0",".",".","."
"","Dept. Total","134","3.546","36.6","6.7","9.0","1.5","2.2","0.7","",".","33.6",".",".",".","7.5","0.7","0.7","0.7","."
