"DESIGN STUDIES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","",""
"Design: Fundamentals I","120","001","","96","3.117","22.9","29.2","24.0","8.3","8.3","2.1","3.1","2.1",".",".",".",".",".",".",".","."
"","154","001","","15","3.167","26.7","20.0","33.3","13.3",".","6.7",".",".",".",".",".",".",".",".",".","."
"","154","002","","15","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Fabric & Apparel Structures II","","Course Total","","30","3.283","33.3","20.0","26.7","16.7",".","3.3",".",".",".",".",".",".",".",".",".","."
"Fashion Illustration","210","001","","16","3.250","31.3","25.0","12.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"Design: Fundamentals II","220","001","","18","3.194","5.6","44.4","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Inter Envir & Hum Behavior","221","001","","78","2.779","15.4","14.1","24.4","21.8","12.8","10.3",".",".",".",".",".",".",".",".","1.3","."
"Interior Design I","222","001","","28","3.357","14.3","46.4","35.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design I","225","001","","12","3.375","16.7","50.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Off-Loom","226","001","","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Print & Dye I","227","001","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design:Structural I","228","001","","12","3.417","41.7","16.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Science","251","001","","74","2.740","9.5","17.6","25.7","25.7","12.2","5.4","2.7",".",".",".",".",".",".",".","1.4","."
"Independent Study","299","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Design: Sketching&Rendering","320","001","","14","3.179","28.6","14.3","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"CAD: Architecture&Interiors","323","001","","14","3.321","21.4","42.9","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Hist of Fashion,1400-Presnt","355","001","","73","3.352","35.6","23.3","28.8","1.4","5.5","1.4","1.4","2.7",".",".",".",".",".",".",".","."
"Amer Interiors,1620-1950","422","001","","51","3.118","33.3","9.8","35.3","2.0","15.7","2.0","2.0",".",".",".",".",".",".",".",".","."
"Textile Dsgn: Print&Dye II","427","001","","10","3.400","10.0","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Dsgn:Structural II","428","001","","14","3.321","14.3","42.9","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Textile Design: Weaving II","429","001","","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","001","","27","3.111","18.5","14.8","55.6",".","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"","501","002","","23","3.652","52.2","43.5",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","50","3.360","34.0","28.0","30.0",".","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"Material Culture Analysis","512","001","","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","601","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","","11","3.804","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interior Design III","622","001","","23","3.109","4.3","34.8","39.1","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"Apparel Design III","625","001","","19","3.684","57.9","31.6","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","691","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000E","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000D","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","000C","","12","3.735","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","000A","","16","3.371","12.5","68.8","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","699","000B","","15","3.210","46.7","20.0","13.3","13.3",".",".","6.7",".",".",".",".",".",".",".",".","."
"","699","000F","","2","***","","","","","","","","","",".",".",".",".",".",".","."
