"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","15","3.400","26.7","40.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","20","3.725","65.0","25.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","003
100","","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","","16","3.656","87.5",".",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","100
005","","16","3.813","68.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
100","","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","90","3.644","60.0","22.2","11.1","4.4","1.1",".","1.1",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","111
001","","18","3.333","50.0","11.1","22.2",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found Agri-sci&Nat Resrc Educ","200
001","","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","","14","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","","20","3.725","65.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","","13","3.692","53.8","38.5",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","","15","2.900","20.0","40.0","13.3","6.7","6.7",".","13.3",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","48","3.458","47.9","31.3","8.3","6.3","2.1",".","4.2",".",".",".",".",".",".",".",".","."
"Informational Photography","001
260","","17","3.765","52.9","47.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","","8","3.842","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
029","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","22","3.850","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Features","330
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","","19","3.922","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","","8","3.438","50.0","12.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","","11","3.455","63.6",".","9.1","9.1","9.1",".",".",".",".",".",".",".","9.1",".",".","."
"","375
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
375","","17","3.570","41.2","41.2",".","11.8",".",".",".",".",".",".",".",".","5.9",".",".","."
"Special Topics","Course Total","","60","3.657","61.7","20.0","5.0","8.3","1.7",".",".",".",".",".",".",".","3.3",".",".","."
"Teaching Methods:Agri-sci Educ","377
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Publications Editing","505
001","","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","001
515","","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","515
002","","9","3.444","66.7",".",".","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","20","3.375","40.0","25.0","15.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","530
001","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
