"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","80","4.000","2.5",".",".",".",".",".",".","97.5",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","79","3.456","26.6","39.2","32.9","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","12","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","24","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","26","4.000","34.6",".",".",".",".",".",".","65.4",".",".",".",".",".",".",".","."
"","670
001","31","4.000","19.4",".",".",".",".",".",".","80.6",".",".",".",".",".",".",".","."
"","670
002","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","38","4.000","21.1",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","16","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","51","4.000","25.5",".",".",".",".",".",".","72.5",".",".",".",".","2.0",".",".","."
"","675
001","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","007
675","32","4.000","31.3",".",".",".",".",".",".","68.8",".",".",".",".",".",".",".","."
"","675
008","18","4.000","5.6",".",".",".",".",".",".","94.4",".",".",".",".",".",".",".","."
"","675
009","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
015","79","",".",".",".",".",".",".",".","97.5",".",".",".",".","2.5",".",".","."
"","675
016","77","3.266","28.6","16.9","41.6","3.9","9.1",".",".",".",".",".",".",".",".",".",".","."
"","675
017","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
018","79","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","418","3.301","7.9","3.1","7.7","0.7","1.7",".",".","78.5",".",".",".",".","0.5",".",".","."
"","678
001","41","4.000","58.5",".",".",".",".",".",".","41.5",".",".",".",".",".",".",".","."
"","678
002","7","4.000","57.1",".",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","48","4.000","58.3",".",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","22","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"","699
016","11","4.000","45.5",".",".",".",".",".",".","54.5",".",".",".",".",".",".",".","."
"","699
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","32","4.000","37.5",".",".",".",".",".",".","59.4",".",".",".",".",".",".","3.1","."
"Production Medicine II","703
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Medicine IV","707
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","775
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","775
010","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 383 of 392",""
