"RURAL SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
RUR SOC","","","","","","","","","","","","","","","","","","","",""
"210
Survey of Sociology","001","","9","3.000",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"215
Gender & Work-Rural America","001","","8","2.063","12.5","12.5",".","25.0","25.0",".","25.0",".",".",".",".",".",".",".",".","."
"260
Latin America-Introduction","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"266
People&Places:Demog-Rur Am","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"357
Meth-Sociological Inquiry","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"360","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","2","***","","","","","","","","","","","","","","","",""
"399","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"578
Rur Minority Grp&Povrty-U S","001","","13","2.846","7.7","30.8","38.5",".","15.4",".","7.7",".",".",".",".",".",".",".",".","."
"612
Agriculture,Technol&Society","001","","9","3.188","22.2","55.6",".",".",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"630
Soc:Devlp Societies/3rd Wld","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"681
Senior Honors Thesis","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Special Problems","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"724
Intermed Political Sociol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"945
Seminar-Rural Sociology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"985
Rsch:Sci,Tech,Ag,Rscs&Envir","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","7","",".",".",".",".",".",".",".","85.7",".",".",".","14.3",".",".",".","."
"993
Research:Soc of Econ Chnge","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
