"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Taxatn:Bus & Persnl Planng","329
001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Writing-Foreign Stdts","603
001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
001","31","3.774","64.5","25.8","9.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
002","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Process","Course Total","43","3.733","60.5","25.6","14.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contracts II","721
001","64","3.406","28.1","25.0","46.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","18","3.278","5.6","44.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
002","16","3.375","18.8","37.5","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
003","17","3.500","29.4","35.3","29.4",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","723
004","15","3.500","26.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
005","17","3.294","11.8","35.3","52.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
006","20","3.325","15.0","35.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
007","17","3.250","11.8","29.4","47.1","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"","008
723","15","3.300","13.3","33.3","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
009","17","3.324","23.5","23.5","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","723
010","17","3.235","11.8","35.3","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","723
011","16","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
012","15","3.333","20.0","46.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","723
013","16","3.344","18.8","31.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723
014","17","3.353","11.8","47.1","41.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Research and Writing","Course Total","233","3.344","17.2","36.9","42.5","2.1","0.4",".",".",".",".",".",".",".","0.9",".",".","."
"","724
001","66","3.659","51.5","28.8","19.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","724
002","70","3.579","48.6","21.4","27.1","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","003
724","56","3.500","39.3","21.4","39.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
724","54","3.463","38.9","22.2","35.2",".","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Property","Course Total","246","3.557","45.1","23.6","29.7","0.8","0.4","0.4",".",".",".",".",".",".",".",".",".","."
"","725
001","54","3.546","44.4","20.4","35.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
725","67","3.619","49.3","25.4","25.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
003","54","3.583","44.4","27.8","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
004","68","3.456","25.0","42.6","30.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","243","3.549","40.3","29.6","29.6","0.4",".",".",".",".",".",".",".",".",".",".",".","."
"Federal Law & Indian Tribes","001
730","12","3.682","58.3","8.3","25.0",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","731
001","42","3.476","31.0","38.1","26.2","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","731
002","40","3.538","30.0","45.0","22.5",".",".",".",".","2.5",".",".",".",".",".",".",".","."
"","731
003","29","3.295","20.7","17.2","34.5",".",".","3.4",".","24.1",".",".",".",".",".",".",".","."
"Constitutional Law I","Course Total","111","3.461","27.9","35.1","27.0","1.8",".","0.9",".","7.2",".",".",".",".",".",".",".","."
"Trusts and Estates","733
001","96","3.500","37.5","11.5","18.8","1.0","1.0","3.1",".","27.1",".",".",".",".",".",".",".","."
"Secured Transactions","736
001","32","3.725","37.5","15.6","9.4",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Constitutional Law II","740
001","93","3.421","21.5","16.1","28.0","2.2",".",".",".","31.2",".",".",".",".",".",".",".","1.1"
"Bus Orgnztions II:Publ Corp","741
001","67","3.511","31.3","13.4","14.9","3.0","3.0",".",".","34.3",".",".",".",".",".",".",".","."
"Negotiations","001
743","68","3.551","30.9","48.5","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor Relations Law","745
001","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Legislation","746
001","68","3.560","32.4","17.6","23.5",".",".",".",".","25.0",".",".",".",".",".",".",".","1.5"
