"EGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROFESSIONAL ORIENTATION","Section","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Career Orientation","200
001","","57","3.921","84.2","15.8","",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"PRO OR
812","Dept. Total","","57","3.921","84.2","15.8","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"812
PRO OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","11","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","21","3.929","85.7","14.3","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","24","3.875","75.0","25.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","56","3.920","83.9","16.1","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","57","3.921","84.2","15.8","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
