"BUS","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","300
001","163","3.124","22.1","17.2","29.4","23.3","6.7",".",".","1.2",".",".",".",".",".",".",".","."
"","300
002","114","2.964","38.6","4.4","25.4","0.9","13.2","14.0","0.9","0.9",".",".",".",".",".","1.8",".","."
"","003
300","112","3.134","23.2","17.9","31.3","17.9","9.8",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","389","3.081","27.2","13.6","28.8","15.2","9.5","4.1","0.3","0.8",".",".",".",".",".","0.5",".","."
"","320
001","44","3.034","11.4","25.0","29.5","27.3","6.8",".",".",".",".",".",".",".",".",".",".","."
"","002
320","52","2.981","21.2","17.3","26.9","21.2","5.8","7.7",".",".",".",".",".",".",".",".",".","."
"Investments","Course Total","96","3.005","16.7","20.8","28.1","24.0","6.3","4.2",".",".",".",".",".",".",".",".",".","."
"","325
001","65","3.154","24.6","15.4","35.4","15.4","9.2",".",".",".",".",".",".",".",".",".",".","."
"","002
325","59","3.136","16.9","25.4","30.5","22.0","5.1",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","124","3.145","21.0","20.2","33.1","18.5","7.3",".",".",".",".",".",".",".",".",".",".","."
"","001
365","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
365","9","3.625","33.3","44.4","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","16","3.567","25.0","56.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","399
023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
128","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Bank Management","410
001","50","3.153","14.0","20.0","50.0","10.0","4.0",".",".","2.0",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","25","3.229","24.0","28.0","28.0","8.0","4.0","4.0",".","4.0",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 2","536
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Options & Financial Futures","630
001","54","3.637","51.9","24.1","11.1","7.4",".",".",".","3.7",".",".",".",".",".",".",".","1.9"
"","635
001","26","3.295","23.1","26.9","19.2","7.7","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"","002
635","24","3.438","33.3","33.3","20.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Security Analysis","Course Total","50","3.370","28.0","30.0","20.0","10.0","4.0",".",".","8.0",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","001
700","68","3.634","52.9","19.1","26.5",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"","720
001","54","3.519","31.5","42.6","18.5","1.9","1.9",".",".","1.9",".",".",".",".",".","1.9",".","."
"","030
720","41","3.439","29.3","34.1","31.7","4.9",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","Course Total","95","3.484","30.5","38.9","24.2","3.2","1.1",".",".","1.1",".",".",".",".",".","1.1",".","."
"Corporatn Finance Thry&Prac","725
001","37","3.667","48.6","32.4","16.2",".",".",".",".",".",".",".",".",".",".",".",".","2.7"
"Multinational Bus Finance","745
001","23","3.652","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Policy","755
001","25","3.625","36.0","48.0","12.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"","765
001","14","3.792","50.0","35.7",".",".",".",".",".","7.1",".",".",".",".",".",".","7.1","."
"","765
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","21","3.842","61.9","28.6",".",".",".",".",".","4.8",".",".",".",".",".",".","4.8","."
"","799
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
115","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","Course Total","5","***","","","","","","","","","","","","","","","",""
"Security Anal&Invstmt Mgt 2","836
001","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Finance","920
001","11","3.409","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973
001","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"PhD Thesis-Finance","990
046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 53 of 392"
