"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","201
001","60","3.292","25.0","40.0","16.7","8.3","8.3","1.7",".",".",".",".",".",".",".",".",".","."
"","201
002","63","2.667","9.5","17.5","17.5","23.8","17.5","7.9","1.6","3.2",".",".",".",".","1.6",".",".","."
"Principles of Statistics","Course Total","123","2.979","17.1","28.5","17.1","16.3","13.0","4.9","0.8","1.6",".",".",".",".","0.8",".",".","."
"","224
001","74","3.182","40.5","20.3","14.9","10.8","5.4","2.7","5.4",".",".",".",".",".",".",".",".","."
"","002
224","65","3.164","26.2","18.5","29.2","16.9","6.2",".","1.5",".",".",".",".",".",".","1.5",".","."
"","003
224","66","3.250","43.9","19.7","9.1","9.1","12.1","6.1",".",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","205","3.199","37.1","19.5","17.6","12.2","7.8","2.9","2.4",".",".",".",".",".",".","0.5",".","."
"","301
001","126","3.148","25.4","14.3","38.1","11.9","7.1","2.4",".","0.8",".",".",".",".",".",".",".","."
"","301
002","91","3.506","50.5","15.4","20.9","6.6","3.3","1.1",".","1.1",".",".",".",".",".","1.1",".","."
"","301
003","96","3.010","28.1","12.5","24.0","16.7","14.6","2.1","2.1",".",".",".",".",".",".",".",".","."
"","004
301","91","2.973","29.7","7.7","29.7","13.2","13.2","3.3","3.3",".",".",".",".",".",".",".",".","."
"","005
301","63","2.492","9.5","20.6","14.3","12.7","22.2","15.9","3.2",".",".",".",".",".","1.6",".",".","."
"","006
301","67","2.925","20.9","22.4","13.4","28.4","7.5","4.5","3.0",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","534","3.048","28.5","14.8","25.3","14.2","10.7","4.1","1.7","0.4",".",".",".",".","0.2","0.2",".","."
"Intro-Statistical Meths II","001
302","26","3.423","42.3","19.2","26.9","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Math Statistics","310
001","25","3.167","40.0",".","32.0",".","24.0",".",".","4.0",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","311
001","63","2.452","9.5","14.3","27.0","6.3","23.8","12.7","6.3",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","45","2.841","24.4","13.3","11.1","13.3","33.3",".","2.2",".",".",".",".",".",".",".","2.2","."
"Intro Applied Stats for Engrs","324
001","64","3.063","35.9","3.1","35.9",".","20.3","3.1","1.6",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","18","3.313","33.3","16.7","16.7","16.7","5.6",".",".","5.6",".",".",".",".",".","5.6",".","."
"Introduction to Time Series","349
001","23","2.738","8.7","26.1","21.7","21.7",".","4.3","8.7","8.7",".",".",".",".",".",".",".","."
"Intro Applied Stats-Life Sci","371
001","142","3.106","27.5","21.8","21.1","14.8","10.6","2.8","1.4",".",".",".",".",".",".",".",".","."
"Appl Categorical Data Anal","421
001","28","3.389","17.9","60.7","7.1",".","10.7",".",".","3.6",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","44","3.360","31.8","29.5","25.0",".","11.4",".",".","2.3",".",".",".",".",".",".",".","."
"","431
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","7","3.071",".","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Clinical Trials","542
001","21","3.700","71.4","19.0",".",".",".",".","4.8","4.8",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II","572
001","82","3.390","29.3","34.1","23.2","4.9",".",".","2.4","6.1",".",".",".",".",".",".",".","."
"Intro-Statistical Inference","610
001","24","3.604","50.0","25.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698
114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mathematical Statistics","710
001","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Response Surface Methods I","749
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Multivariate Analysis","756
001","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Theory of Probability","832
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thry&Appl-Regres&Anal VarII","850
001","32","3.672","53.1","28.1","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
