"","990
047","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
048","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
052","","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","","13","3.568","76.9",".","7.7",".","15.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"OBS&GYN
436","Dept. Total","","93","3.695","51.6","38.7","5.4",".","2.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","2.2"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","3","3.429","33.3","33.3","33.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","1","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","6","3.656","50.0","33.3","16.7",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","2","",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","100.0"
"Graduate","","","14","3.598","78.6",".","7.1",".","14.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","68","3.719","47.1","50.0","2.9",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","3","3.667","66.7",".","33.3",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","71","3.717","47.9","47.9","4.2",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","93","3.695","51.6","38.7","5.4",".","2.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","2.2"
