"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","136","3.071","18.4","15.4","44.9","7.4","9.6","2.9",".","1.5",".",".",".",".",".",".",".","."
"","100","002","136","2.704","14.0","6.6","39.0","18.4","11.0","4.4","5.9",".","0.7",".",".",".",".",".",".","."
"General Geology","","Course Total","272","2.887","16.2","11.0","41.9","12.9","10.3","3.7","2.9","0.7","0.4",".",".",".",".",".",".","."
"General Geology","101","001","95","2.679","15.8","5.3","26.3","12.6","37.9",".","2.1",".",".",".",".",".",".",".",".","."
"","102","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Survey of Oceanography","105","001","22","2.770","13.6","4.5","45.5","13.6","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","93","3.435","36.6","32.3","15.1","12.9","1.1","1.1",".","1.1",".",".",".",".",".",".",".","."
"Life of the Past","107","001","48","3.417","54.2","10.4","14.6","10.4","8.3","2.1",".",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","185","2.552","20.0","4.9","23.2","10.3","24.3","11.4","4.9",".",".",".",".",".",".","1.1",".","."
"Mountains and Moving Plates","112","001","130","2.583","10.8","6.9","29.2","7.7","33.8","8.5",".","2.3",".",".",".",".",".","0.8",".","."
"Sci Behind News-Wrld Around Us","115","001","169","2.629","8.9","11.2","31.4","11.2","24.3","6.5","2.4","3.6",".",".",".",".",".","0.6",".","."
"Earth Materials","203","001","45","2.889","17.8","13.3","28.9","8.9","31.1",".",".",".",".",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","51","2.857","13.7","7.8","39.2","19.6","9.8","5.9",".","3.9",".",".",".",".",".",".",".","."
"Geobiology","304","001","21","3.000","23.8","14.3","19.0","14.3","23.8",".",".","4.8",".",".",".",".",".",".",".","."
"","306","001","384","3.017","10.7","22.7","34.9","18.0","5.7","1.6","0.8","4.2",".",".",".",".",".","1.6",".","."
"","306","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gems and Precious Stones","","Course Total","385","3.018","10.6","22.9","34.8","17.9","5.7","1.6","0.8","4.2",".",".",".",".",".","1.6",".","."
"Landforms-Topics & Regions","326","001","7","3.000","14.3","28.6","14.3",".","28.6",".",".",".",".",".",".",".",".","14.3",".","."
"Topics in Geology","376","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","21","2.738","9.5","33.3","23.8",".","19.0","9.5","4.8",".",".",".",".",".",".",".",".","."
"Structural Geology","455","001","27","3.000","25.9","3.7","25.9","33.3","11.1",".",".",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Petrology","557","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contaminant Hydrogeology","629","001","14","3.357","14.3","50.0","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","682","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","691","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Directed Study","698","028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
