"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","24","3.021","4.2","50.0","12.5","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"They: Race in Amer Lit","155","001","107","3.366","43.9","22.4","16.8","4.7","6.5","0.9","2.8","1.9",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","197","3.145","19.8","18.8","34.5","7.6","8.1","2.0",".","9.1",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","96","3.022","14.6","31.3","21.9","14.6","7.3","2.1","3.1","4.2",".",".",".",".",".",".","1.0","."
"Latin America-Introduction","260","001","20","3.132","20.0","20.0","30.0","15.0","10.0",".",".","5.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","39","3.449","48.7","25.6","17.9","2.6",".",".","5.1",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","61","3.433","39.3","16.4","34.4","6.6","1.6",".",".","1.6",".",".",".",".",".",".",".","."
"Contemporary African Art","320","001","19","3.222","36.8","15.8","21.1","5.3","10.5","5.3",".","5.3",".",".",".",".",".",".",".","."
"Slavery in the Amer South","467","001","22","3.429","27.3","31.8","31.8","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","16","3.031","6.3","12.5","62.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Afro-Am Music Hist&Crit","509","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Major Authors","525","001","20","3.088","15.0","25.0","30.0",".","10.0","5.0",".","5.0",".",".",".",".","5.0","5.0",".","."
"Hist-Educ of Black Americns","567","001","25","3.109","28.0","20.0","32.0",".",".","8.0","4.0",".",".",".",".",".","4.0","4.0",".","."
"Blacks in Cities","577","001","12","3.167","33.3",".","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","603","001","17","3.647","58.8","17.6","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","636","001","30","3.310","6.7","66.7","10.0","6.7","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","22","3.409","40.9","22.7","22.7","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","12","3.500","41.7","8.3","16.7",".","8.3",".",".","16.7",".",".",".",".","8.3",".",".","."
"Visual Culture&Crit Race Thry","679","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honor Thesis","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","10","3.983","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","23","3.802","73.9","13.0","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","790","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
