"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","1
001","25","3.500","36.0","36.0","8.0",".",".",".","4.0","16.0",".",".",".",".",".",".",".","."
"","002
1","17","3.821","52.9","29.4",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","42","3.629","42.9","33.3","4.8",".",".",".","2.4","16.7",".",".",".",".",".",".",".","."
"","001
11","15","3.733","93.3",".",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","11
002","20","3.789","80.0",".","10.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Modern Dance I","Course Total","35","3.765","85.7",".","5.7",".","2.9",".","2.9","2.9",".",".",".",".",".",".",".","."
"Modern Dance Technique II","112
001","22","3.238","22.7","40.9","13.6","13.6",".",".","4.5",".",".",".",".",".",".","4.5",".","."
"Modern Dance II","12
001","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory-Movement for Dancers","161
001","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance","205
001","19","3.737","84.2","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Ballet I","21
001","19","3.667","31.6","21.1","10.5",".",".",".",".","36.8",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22
001","33","3.827","57.6","15.2","6.1",".",".",".",".","21.2",".",".",".",".",".",".",".","."
"Ballet Technique II","225
001","24","2.667","8.3","29.2","25.0","4.2","12.5","4.2","8.3","8.3",".",".",".",".",".",".",".","."
"Dance Accompaniment-Music","243
001","7","2.500",".","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"","255
001","8","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","255
002","14","3.536","50.0","7.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Move Comp-Perform/Visul Art","Course Total","22","3.523","50.0","4.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","31
001","38","3.409","23.7","34.2","26.3",".",".","2.6",".","10.5",".",".",".",".",".",".","2.6","."
"","31
002","32","3.426","18.8","34.4","31.3",".",".",".",".","15.6",".",".",".",".",".",".",".","."
"Modern Jazz Dance","Course Total","70","3.417","21.4","34.3","28.6",".",".","1.4",".","12.9",".",".",".",".",".",".","1.4","."
"Modern Dance Technique VI","312
001","17","3.500","41.2","23.5","17.6","11.8",".",".",".",".",".",".",".",".",".","5.9",".","."
"Ballet Technique III","325
001","19","2.917","5.3","36.8","26.3","10.5","5.3","10.5",".","5.3",".",".",".",".",".",".",".","."
"","399
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
055","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
056","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","Course Total","15","3.810","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
001","50","3.776","44.0","30.0","2.0",".",".",".",".","24.0",".",".",".",".",".",".",".","."
"","002
41","37","3.962","64.9","5.4",".",".",".",".",".","29.7",".",".",".",".",".",".",".","."
"","41
003","36","3.855","80.6","2.8",".",".",".",".","2.8","13.9",".",".",".",".",".",".",".","."
"","41
004","35","3.724","48.6","22.9","11.4",".",".",".",".","17.1",".",".",".",".",".",".",".","."
"","005
41","43","3.771","37.2","16.3",".",".","2.3",".",".","44.2",".",".",".",".",".",".",".","."
"","41
006","36","3.868","44.4","2.8","5.6",".",".",".",".","41.7",".",".",".",".",".","5.6",".","."
"Ballroom Dancing","Course Total","237","3.820","52.3","14.3","3.0",".","0.4",".","0.4","28.7",".",".",".",".",".","0.8",".","."
"","42
001","32","3.944","78.1","3.1","3.1",".",".",".",".","15.6",".",".",".",".",".",".",".","."
"","42
002","34","3.635","61.8","5.9",".","2.9",".","2.9","2.9","23.5",".",".",".",".",".",".",".","."
"Ballroom Dance II","Course Total","66","3.792","69.7","4.5","1.5","1.5",".","1.5","1.5","19.7",".",".",".",".",".",".",".","."
"Ballet Technique IV","425
001","11","3.409","36.4","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 100 of 392",""
